State,Title I 2018,Title I 2019,Title I 2020,Title I 2021,Title I 2022,Title I Total,Title II 2018,Title II 2019,Title II 2020,Title II 2021,Title II 2022,Title II Total,Crop Insurance 2018,Crop Insurance 2019,Crop Insurance 2020,Crop Insurance 2021,Crop Insurance 2022,Crop Insurance Total,SNAP 2018,SNAP 2019,SNAP 2020,SNAP 2021,SNAP 2022,SNAP Total,2018 All Programs Total,2019 All Programs Total,2020 All Programs Total,2021 All Programs Total,2022 All Programs Total,18-22 All Programs Total
AK,145776.00,124161.00,108899.00,0.00,0.00,378836.00,7662394.39,6729781.45,8570223.77,9606129.47,8893772.00,41462301.08,28332677.00,38519352.00,53144531.00,18255214.00,42701308.00,180953082.00,187357117.00,171091672.00,198298992.00,288045258.00,348717900.00,1193510939.00,223497964.39,216464966.45,260122645.77,315906601.47,400312980.00,1416305158.08
AL,56548763.13,105364012.84,66207657.27,20372228.77,440010.11,248932672.12,34646573.12,36603103.91,39102035.67,51295873.43,36045724.00,197693310.13,81177.00,-7124.00,3153.00,49757.00,207079.00,334042.00,1084563290.00,1032064886.00,1359495890.00,1974053519.00,2161908716.00,7612086301.00,1175839803.25,1174024878.75,1464808735.94,2045771378.20,2198601529.11,8059046325.25
AR,360931413.26,338484665.92,199309416.32,42836119.38,77287157.24,1018848772.12,131859115.54,118339028.45,177951405.16,118448323.55,109444545.00,656042417.70,83141516.00,268258444.00,215840841.00,163250836.00,206368622.00,936860259.00,480472657.00,460333605.00,660915016.00,765794046.00,509586699.00,2877102023.00,1056404701.80,1185415743.37,1254016678.48,1090329324.93,902687023.24,5488853471.82
AZ,30447833.60,52653042.27,38065369.61,20100650.79,9202711.75,150469608.02,19383246.76,28474242.10,14971077.30,15905180.49,26562718.00,105296464.65,97585145.00,17526969.00,115000090.00,86599740.00,78992834.00,395704778.00,1210429898.00,1146712214.00,1469174725.00,2175824745.00,1912395634.00,7914537216.00,1357846123.36,1245366467.37,1637211261.91,2298430316.28,2027153897.75,8566008066.67
CA,43225623.67,107410597.60,69045981.12,157468562.73,48552231.20,425702996.32,103799088.96,102477392.40,108455835.80,105339177.94,101100819.00,521172314.10,146894336.00,208366184.00,441766006.00,358176963.00,1028756754.00,2183960243.00,6332717643.00,5977281299.00,7818586485.00,11243441465.00,14424776610.00,45796803502.00,6626636691.63,6395535473.00,8437854307.92,11864426168.67,15603186414.20,48927639055.42
CO,79388597.43,102232676.13,85755323.35,54358595.66,30770496.51,352505689.08,121791591.62,124984100.18,135771048.08,105710249.49,99317843.00,587574832.37,78904815.00,28250987.00,190814921.00,92794959.00,349830182.00,740595864.00,668610833.00,639000457.00,912978201.00,1304761706.00,1473934886.00,4999286083.00,948695837.05,894468220.31,1325319493.43,1557625510.15,1953853407.51,6679962468.45
CT,1173316.00,1122186.35,444303.93,3933226.63,321227.66,6994260.57,4514597.23,7654847.05,6477526.95,6952657.96,8719287.00,34318916.19,-336400.00,-2187590.00,1280670.00,17011330.00,-1249892.00,14518118.00,614967955.00,584718600.00,721754999.00,980157323.00,1115512850.00,4017111727.00,620319468.23,591308043.40,729957499.88,1008054537.59,1123303472.66,4072943021.76
DC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188433398.00,172078913.00,225271943.00,381121744.00,444360725.00,1411266723.00,188433398.00,172078913.00,225271943.00,381121744.00,444360725.00,1411266723.00
DE,6986125.99,5280977.26,1151917.61,807294.64,49238.29,14275553.79,12355593.12,10552305.74,12526267.87,9304793.54,8504645.00,53243605.27,4186243.00,-212227.00,-1149830.00,-2588083.00,-239564.00,-3461.00,196899033.00,178138585.00,215100949.00,288020710.00,323485761.00,1201645038.00,220426995.11,193759641.00,227629304.48,295544715.18,331800080.29,1269160736.06
FL,34008845.57,51388482.89,41021563.16,18294133.25,658310.26,145371335.13,43297477.83,43786791.03,51364517.22,41565807.32,50446591.00,230461184.40,173330661.00,19948206.00,53114327.00,51214595.00,157833884.00,455441673.00,5763762595.00,4035386245.00,6083139792.00,7994149813.00,4975285574.00,28851724019.00,6014399579.40,4150509724.92,6228640199.38,8105224348.57,5184224359.26,29682998211.53
