Title,State,Fiscal Year,Amount,Average Monthly Participation
Title I: Commodities,AK,2018,145776.00,
Title I: Commodities,AL,2018,56548763.13,
Title I: Commodities,AR,2018,360931413.26,
Title I: Commodities,AZ,2018,30447833.60,
Title I: Commodities,CA,2018,43225623.67,
Title I: Commodities,CO,2018,79388597.43,
Title I: Commodities,CT,2018,1173316.00,
Title I: Commodities,DC,2018,0.00,
Title I: Commodities,DE,2018,6986125.99,
Title I: Commodities,FL,2018,34008845.57,
Title I: Commodities,GA,2018,194125508.14,
Title I: Commodities,HI,2018,788484.25,
Title I: Commodities,IA,2018,61468466.25,
Title I: Commodities,ID,2018,42241103.96,
Title I: Commodities,IL,2018,19403776.10,
Title I: Commodities,IN,2018,10132461.00,
Title I: Commodities,KS,2018,287090667.09,
Title I: Commodities,KY,2018,14863410.17,
Title I: Commodities,LA,2018,148335538.08,
Title I: Commodities,MA,2018,1338932.00,
Title I: Commodities,MD,2018,12912410.39,
Title I: Commodities,ME,2018,2296230.05,
Title I: Commodities,MI,2018,30249709.91,
Title I: Commodities,MN,2018,88549562.13,
Title I: Commodities,MO,2018,233251570.12,
Title I: Commodities,MS,2018,113332378.22,
Title I: Commodities,MT,2018,97760782.85,
Title I: Commodities,NC,2018,78719985.96,
Title I: Commodities,ND,2018,161635522.78,
Title I: Commodities,NE,2018,45844748.35,
Title I: Commodities,NH,2018,1002783.00,
Title I: Commodities,NJ,2018,1910369.78,
Title I: Commodities,NM,2018,39206996.60,
Title I: Commodities,NV,2018,2813897.96,
Title I: Commodities,NY,2018,27189908.02,
Title I: Commodities,OH,2018,17902112.66,
Title I: Commodities,OK,2018,223386219.65,
Title I: Commodities,OR,2018,30727539.22,
Title I: Commodities,PA,2018,31393928.65,
Title I: Commodities,RI,2018,63522.00,
Title I: Commodities,SC,2018,26303308.11,
Title I: Commodities,SD,2018,78083739.88,
Title I: Commodities,TN,2018,30499772.78,
Title I: Commodities,TX,2018,540854801.42,
Title I: Commodities,UT,2018,28463141.52,
Title I: Commodities,VA,2018,24368012.01,
Title I: Commodities,VT,2018,7205141.00,
Title I: Commodities,WA,2018,12987126.44,
Title I: Commodities,WI,2018,72852899.44,
Title I: Commodities,WV,2018,1400368.00,
Title I: Commodities,WY,2018,7204461.08,
Title I: Commodities,AK,2019,124161.00,
Title I: Commodities,AL,2019,105364012.84,
Title I: Commodities,AR,2019,338484665.92,
Title I: Commodities,AZ,2019,52653042.27,
Title I: Commodities,CA,2019,107410597.60,
Title I: Commodities,CO,2019,102232676.13,
Title I: Commodities,CT,2019,1122186.35,
Title I: Commodities,DC,2019,0.00,
Title I: Commodities,DE,2019,5280977.26,
Title I: Commodities,FL,2019,51388482.89,
Title I: Commodities,GA,2019,297560364.15,
Title I: Commodities,HI,2019,3185080.00,
Title I: Commodities,IA,2019,316338668.71,
Title I: Commodities,ID,2019,138506718.72,
Title I: Commodities,IL,2019,417898299.28,
Title I: Commodities,IN,2019,220615484.05,
Title I: Commodities,KS,2019,478777085.83,
Title I: Commodities,KY,2019,58200694.12,
Title I: Commodities,LA,2019,160408670.14,
Title I: Commodities,MA,2019,2913550.01,
Title I: Commodities,MD,2019,18309199.71,
Title I: Commodities,ME,2019,2199741.50,
Title I: Commodities,MI,2019,108922681.25,
Title I: Commodities,MN,2019,418722469.50,
Title I: Commodities,MO,2019,204790799.84,
Title I: Commodities,MS,2019,188715991.77,
Title I: Commodities,MT,2019,194135442.34,
Title I: Commodities,NC,2019,128558763.55,
Title I: Commodities,ND,2019,479464128.25,
Title I: Commodities,NE,2019,279681337.47,
Title I: Commodities,NH,2019,954347.75,
Title I: Commodities,NJ,2019,2422435.57,
Title I: Commodities,NM,2019,33928161.12,
Title I: Commodities,NV,2019,3352865.75,
Title I: Commodities,NY,2019,41041568.71,
Title I: Commodities,OH,2019,169213313.35,
Title I: Commodities,OK,2019,203483547.60,
Title I: Commodities,OR,2019,56065220.76,
Title I: Commodities,PA,2019,31005847.63,
Title I: Commodities,RI,2019,67020.17,
Title I: Commodities,SC,2019,61253674.43,
Title I: Commodities,SD,2019,302077611.39,
Title I: Commodities,TN,2019,81883570.36,
Title I: Commodities,TX,2019,738689230.98,
Title I: Commodities,UT,2019,16344194.89,
Title I: Commodities,VA,2019,39854982.34,
Title I: Commodities,VT,2019,7910801.96,
Title I: Commodities,WA,2019,144768865.98,
Title I: Commodities,WI,2019,138403924.30,
Title I: Commodities,WV,2019,1465059.02,
Title I: Commodities,WY,2019,13940280.93,
Title I: Commodities,AK,2020,108899.00,
Title I: Commodities,AL,2020,66207657.27,
Title I: Commodities,AR,2020,199309416.32,
Title I: Commodities,AZ,2020,38065369.61,
Title I: Commodities,CA,2020,69045981.12,
Title I: Commodities,CO,2020,85755323.35,
Title I: Commodities,CT,2020,444303.93,
Title I: Commodities,DC,2020,0.00,
Title I: Commodities,DE,2020,1151917.61,
Title I: Commodities,FL,2020,41021563.16,
Title I: Commodities,GA,2020,223759913.30,
Title I: Commodities,HI,2020,3500933.00,
Title I: Commodities,IA,2020,28801962.30,
Title I: Commodities,ID,2020,73630153.06,
Title I: Commodities,IL,2020,21716003.53,
Title I: Commodities,IN,2020,12446862.14,
Title I: Commodities,KS,2020,159026136.37,
Title I: Commodities,KY,2020,12080080.22,
Title I: Commodities,LA,2020,87352188.37,
Title I: Commodities,MA,2020,2500005.11,
Title I: Commodities,MD,2020,5959600.87,
Title I: Commodities,ME,2020,1723499.53,
Title I: Commodities,MI,2020,20465723.44,
Title I: Commodities,MN,2020,69987795.00,
Title I: Commodities,MO,2020,83927204.22,
Title I: Commodities,MS,2020,94490482.76,
Title I: Commodities,MT,2020,113196292.88,
Title I: Commodities,NC,2020,64806580.80,
Title I: Commodities,ND,2020,200440134.70,
Title I: Commodities,NE,2020,50604778.87,
Title I: Commodities,NH,2020,429666.99,
Title I: Commodities,NJ,2020,942257.21,
Title I: Commodities,NM,2020,44625264.79,
Title I: Commodities,NV,2020,13816264.66,
Title I: Commodities,NY,2020,14366444.03,
Title I: Commodities,OH,2020,24154135.14,
Title I: Commodities,OK,2020,139578418.05,
Title I: Commodities,OR,2020,51732790.22,
Title I: Commodities,PA,2020,17844791.64,
Title I: Commodities,RI,2020,143338.15,
Title I: Commodities,SC,2020,27546427.70,
Title I: Commodities,SD,2020,52621802.91,
Title I: Commodities,TN,2020,32300722.87,
Title I: Commodities,TX,2020,407025202.67,
Title I: Commodities,UT,2020,30659899.60,
Title I: Commodities,VA,2020,27417570.43,
Title I: Commodities,VT,2020,2169323.92,
Title I: Commodities,WA,2020,72754361.80,
Title I: Commodities,WI,2020,55531178.99,
Title I: Commodities,WV,2020,407176.91,
Title I: Commodities,WY,2020,47860369.87,
Title I: Commodities,AK,2021,0.00,
Title I: Commodities,AL,2021,20372228.77,
Title I: Commodities,AR,2021,42836119.38,
Title I: Commodities,AZ,2021,20100650.79,
Title I: Commodities,CA,2021,157468562.73,
Title I: Commodities,CO,2021,54358595.66,
Title I: Commodities,CT,2021,3933226.63,
Title I: Commodities,DC,2021,0.00,
Title I: Commodities,DE,2021,807294.64,
Title I: Commodities,FL,2021,18294133.25,
Title I: Commodities,GA,2021,85204147.01,
Title I: Commodities,HI,2021,3554544.00,
Title I: Commodities,IA,2021,53565314.21,
Title I: Commodities,ID,2021,52516874.91,
Title I: Commodities,IL,2021,26458720.15,
Title I: Commodities,IN,2021,16734174.74,
Title I: Commodities,KS,2021,16538746.51,
Title I: Commodities,KY,2021,11828220.96,
Title I: Commodities,LA,2021,21754721.32,
Title I: Commodities,MA,2021,5318659.90,
Title I: Commodities,MD,2021,11425164.32,
Title I: Commodities,ME,2021,7824988.87,
Title I: Commodities,MI,2021,57448708.41,
Title I: Commodities,MN,2021,134044340.22,
Title I: Commodities,MO,2021,21770550.48,
Title I: Commodities,MS,2021,12375124.55,
Title I: Commodities,MT,2021,116785949.55,
Title I: Commodities,NC,2021,20031603.13,
Title I: Commodities,ND,2021,127670669.33,
Title I: Commodities,NE,2021,28713884.00,
Title I: Commodities,NH,2021,3777372.58,
Title I: Commodities,NJ,2021,1537807.72,
Title I: Commodities,NM,2021,46950945.72,
Title I: Commodities,NV,2021,16486695.94,
Title I: Commodities,NY,2021,115824435.97,
Title I: Commodities,OH,2021,48097803.38,
Title I: Commodities,OK,2021,50495776.82,
Title I: Commodities,OR,2021,53084304.42,
Title I: Commodities,PA,2021,89639960.19,
Title I: Commodities,RI,2021,134557.39,
