state,year,titlei,ci_net_benefit,abbreviation,snap_cost,title_ii
Alabama,2022,0,42701308,AL,2161908716,28529870
Alaska,2022,0,207079,AK,348717900,8449682
Arizona,2022,0,78992834,AZ,1912395634,11224217
Arkansas,2022,0,206368622,AR,509586699,80219941
California,2022,0,1028756754,CA,14424776610,76231600
Colorado,2022,0,349830182,CO,1473934886,46745542
Connecticut,2022,0,-1249892,CT,1115512850,3887233
Delaware,2022,0,-239564,DE,323485761,9435862
Florida,2022,0,157833884,FL,4975285574,20137607
Georgia,2022,0,79044062,GA,4093404907,64764678
Hawaii,2022,0,1917950,HI,900720734,7132729
Idaho,2022,0,63201426,ID,220405707,17000771
Illinois,2022,0,-392384735,IL,5678772072,35073154
Indiana,2022,0,-203934644,IN,1523624552,28782574
Iowa,2022,0,-339872906,IA,596714651,45841151
Kansas,2022,0,1608237735,KS,558884067,48298476
Kentucky,2022,0,66356669,KY,1265479724,23959634
Louisiana,2022,0,92429876,LA,2388597365,39503882
Maine,2022,0,-1462812,ME,475481103,10513809
Maryland,2022,0,-4091661,MD,2117227174,10275691
Massachusetts,2022,0,439455,MA,3135942192,2425229
Michigan,2022,0,-13282247,MI,3941434011,21330661
Minnesota,2022,0,-61663672,MN,1694725549,64228474
Mississippi,2022,0,72998422,MS,851232937,76673016
Missouri,2022,0,91282444,MO,1298301743,55141186
Montana,2022,0,260953096,MT,155175590,55045513
Nebraska,2022,0,1001386242,NE,265904110,52604359
Nevada,2022,0,138886668,NV,1281156203,3741495
New Hampshire,2022,0,26496,NH,200380711,3374387
New Jersey,2022,0,18278925,NJ,2576443628,3708404
New Mexico,2022,0,162151651,NM,1486850924,23840118
New York,2022,0,16624989,NY,8699495581,14383913
North Carolina,2022,0,85429740,NC,4737610255,35689026
North Dakota,2022,0,545585464,ND,90503186,51115427
Ohio,2022,0,-81413819,OH,4299141255,24911169
Oklahoma,2022,0,564975734,OK,1802791838,37530505
Oregon,2022,0,84965729,OR,2094359050,34736492
Pennsylvania,2022,0,39017264,PA,5017489465,23076666
Puerto Rico,2022,0,,,,5657832
Rhode Island,2022,0,210838,RI,424913309,2816594
South Carolina,2022,0,101996566,SC,1719271318,29507679
South Dakota,2022,0,684010222,SD,143211449,54955031
Tennessee,2022,0,83557261,TN,1800936365,30553307
Texas,2022,0,3129776356,TX,9882113180,98011379
Utah,2022,0,49107316,UT,426939679,30574241
Vermont,2022,0,532678,VT,205688345,10238885
Virginia,2022,0,1597038,VA,2324190266,21390725
Washington,2022,0,90844356,WA,2527621418,29743374
West Virginia,2022,0,665797,WV,884685288,8058640
Wisconsin,2022,0,-68196574,WI,2075620402,46165223
Wyoming,2022,0,36416202,WY,68566524,14696636
Alabama,2018,55720606.6,28332677,AL,1084563290,5822366
Alabama,2019,94735637,38519352,AL,1032064886,6158876
Alabama,2020,65878772,53144531,AL,1359495890,7858437
Alabama,2021,19633652,18255214,AL,1974053519,4756288
Alaska,2018,145776,81177,AK,187357117,796209
Alaska,2019,124161,-7124,AK,171091672,773654
Alaska,2020,108899,3153,AK,198298992,977010
Alaska,2021,0,49757,AK,288045258,102689
Arizona,2018,18283941,97585145,AZ,1210429898,2976161
Arizona,2019,44589560,17526969,AZ,1146712214,1753810
Arizona,2020,22118651,115000090,AZ,1469174725,1134571
Arizona,2021,1969,86599740,AZ,2175824745,1245418
Arkansas,2018,350968258.2,83141516,AR,480472657,56795345
Arkansas,2019,335904244,268258444,AR,460333605,57683884
Arkansas,2020,196529152,215840841,AR,660915016,95531989
Arkansas,2021,38919099,163250836,AR,765794046,45981017
California,2018,22946873.85,146894336,CA,6332717643,4177002
California,2019,65505715,208366184,CA,5977281299,4508934
California,2020,26737753,441766006,CA,7818586485,5032649
California,2021,127446,358176963,CA,11243441465,3065773
Colorado,2018,47811089.83,78904815,CO,668610833,20173909
Colorado,2019,98576009,28250987,CO,639000457,20848075
Colorado,2020,40207714,190814921,CO,912978201,25522430
Colorado,2021,2114705,92794959,CO,1304761706,11687148
Connecticut,2018,136874,-336400,CT,614967955,41529
Connecticut,2019,122686,-2187590,CT,584718600,238618
Connecticut,2020,9413,1280670,CT,721754999,247115
Connecticut,2021,0,17011330,CT,980157323,76606
Delaware,2018,6627306.99,4186243,DE,196899033,1489461
Delaware,2019,5030057,-212227,DE,178138585,1386162
Delaware,2020,996622,-1149830,DE,215100949,1397394
Delaware,2021,0,-2588083,DE,288020710,989606
Florida,2018,25213699.75,173330661,FL,5763762595,2453798
Florida,2019,34198082,19948206,FL,4035386245,2732417
Florida,2020,30249201,53114327,FL,6083139792,3240627
Florida,2021,11980203,51214595,FL,7994149813,3461636
Georgia,2018,187469899.8,316875788,GA,2336788286,41044983
Georgia,2019,280430283,143659393,GA,2115101241,46193825
Georgia,2020,217218711,77251159,GA,2906208820,60350709
Georgia,2021,75951560,72662830,GA,4085504054,32738952
Hawaii,2018,0,828234,HI,469433045,17459
Hawaii,2019,0,1758344,HI,448431408,134075
Hawaii,2020,0,1815815,HI,563931492,426331
Hawaii,2021,0,1303360,HI,944131080,456676
Idaho,2018,35669763.59,-632375,ID,199514037,6016036
Idaho,2019,128302580,13334457,ID,192918233,6233761
Idaho,2020,65287254,12247716,ID,241192232,6237753
Idaho,2021,1584720,138054309,ID,258375969,4826182
Illinois,2018,13274015.39,-172839856,IL,2777948512,34466190
Illinois,2019,412437967,406832441,IL,2646035880,35228756
Illinois,2020,17851117,-92087272,IL,3381674266,43776150
Illinois,2021,296675,-284636813,IL,5104129949,18620543
Indiana,2018,6224173.84,-75779350,IN,867533147,8748699
Indiana,2019,216366273,285732275,IN,819644875,10006822
Indiana,2020,9300922,-78886138,IN,1091236875,10989602
Indiana,2021,170651,-156246760,IN,1619482719,8192126
Iowa,2018,43244172.25,37688433,IA,446259982,30040860
Iowa,2019,303839014,-14419216,IA,429315218,31542905
Iowa,2020,8927058,338504743,IA,545552128,31431938
Iowa,2021,52895,-373441937,IA,727003312,24120924
Kansas,2018,220259792.1,113274324,KS,293539988,43652659
Kansas,2019,467925537,34308457,KS,265322548,37247018
Kansas,2020,152024839,11999887,KS,336631296,46362976
Kansas,2021,2047346,-39981435,KS,488517358,26079636
Kentucky,2018,10052350.24,60441792,KY,853986982,4354821
Kentucky,2019,54246158,86670646,KY,739297747,5462797
Kentucky,2020,9182293,47970682,KY,997788980,7273553
