year,state,county,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2014,Alabama,All Other Counties,17,1238,13323568,258657,202499,0,0.0,-56158,56158,-3303.4117647058824,-45.36187399030695
2014,Alabama,Autauga,48,11957,3993163,549805,395294,275846,0.5017160629677795,121335,154511,2527.8125,10.147612277327088
2014,Alabama,Baldwin,292,73906,34414480,2512529,1723532,1393943,0.5547967804550714,604946,788997,2071.7328767123286,8.185343544502476
2014,Alabama,Barbour,84,14930,5690718,1182245,749550,666210,0.5635126390891905,233515,432695,2779.940476190476,15.64065639651708
2014,Alabama,Bibb,6,374,84877,21758,14918,65857,3.0267947421638017,59017,6840,9836.166666666666,157.79946524064172
2014,Alabama,Blount,45,6153,2413284,230905,173662,27744,0.12015330980273273,-29499,57243,-655.5333333333333,-4.7942467089224765
2014,Alabama,Bullock,36,8083,2452490,365391,245305,234281,0.6411789015055105,114195,120086,3172.0833333333335,14.12779908449833
2014,Alabama,Butler,19,3667,1086600,231512,141684,65709,0.2838254604512941,-24119,89828,-1269.421052631579,-6.577311153531497
2014,Alabama,Calhoun,64,9356,3395138,336753,241560,75983,0.2256342185518763,-19210,95193,-300.15625,-2.053227875160325
2014,Alabama,Chambers,8,2810,576045,71094,41557,30041,0.4225532393732242,504,29537,63.0,0.17935943060498222
2014,Alabama,Cherokee,285,37208,13660258,1463212,1058070,51176,0.034975109553502845,-353966,405142,-1241.9859649122807,-9.513169210922383
2014,Alabama,Chilton,33,1543,1218750,453042,296291,725369,1.601107623575739,568618,156751,17230.848484848484,368.5145819831497
2014,Alabama,Choctaw,3,616,142148,22145,14173,25149,1.1356513885752992,17177,7972,5725.666666666667,27.88474025974026
2014,Alabama,Cleburne,7,595,138104,19482,11664,774,0.039728980597474595,-7044,7818,-1006.2857142857143,-11.838655462184875
2014,Alabama,Coffee,301,40886,15396824,4191391,2476819,3707125,0.8844617455159874,1992553,1714572,6619.777408637874,48.73435894927359
2014,Alabama,Colbert,223,63000,18975343,1830887,1387399,80436,0.04393280415448905,-363052,443488,-1628.0358744394618,-5.762730158730159
2014,Alabama,Conecuh,53,10824,4097874,702830,421604,372270,0.5296728938719178,91044,281226,1717.811320754717,8.411308203991132
2014,Alabama,Covington,242,38855,14941034,2943454,1802538,2798573,0.9507785751025836,1657657,1140916,6849.822314049587,42.662643160468406
2014,Alabama,Crenshaw,50,6087,2001047,463801,285250,356269,0.7681505645740306,177718,178551,3554.36,29.196320026285527
2014,Alabama,Cullman,54,9479,2577614,252481,198543,2735,0.010832498286999814,-51203,53938,-948.2037037037037,-5.40173014031016
2014,Alabama,Dale,179,26302,10683471,2219776,1344365,1622560,0.7309566370660824,747149,875411,4174.016759776537,28.406547030644056
2014,Alabama,Dallas,89,31847,8841966,1391667,1033289,754961,0.5424868161708225,396583,358378,4455.988764044944,12.452758501585707
2014,Alabama,De Kalb,140,32138,10049178,1296667,939794,208919,0.16112000999485604,-147954,356873,-1056.8142857142857,-4.603709004916299
2014,Alabama,Elmore,65,16298,5212704,486426,369631,84361,0.17343028538770544,-32434,116795,-498.9846153846154,-1.9900601300773102
2014,Alabama,Escambia,215,47115,20501095,2273782,1463794,586270,0.2578391420109755,-223718,809988,-1040.5488372093023,-4.748339170115674
2014,Alabama,Etowah,53,8655,3244104,315894,234321,6181,0.019566690092246132,-75392,81573,-1422.4905660377358,-8.710803004043905
2014,Alabama,Fayette,22,4801,1294574,183839,123709,0,0.0,-60130,60130,-2733.181818181818,-12.52447406790252
2014,Alabama,Franklin,63,10651,2434465,311074,207294,77096,0.24783813497752946,-26684,103780,-423.55555555555554,-2.505304666228523
2014,Alabama,Geneva,480,61965,23555704,5236550,3189417,6070501,1.1592558077360093,4023368,2047133,8382.016666666666,64.92968611312838
2014,Alabama,Greene,19,3842,785061,153635,108504,316281,2.0586519998698214,271150,45131,14271.052631578947,70.57522123893806
2014,Alabama,Hale,28,10304,2417178,310733,212248,230729,0.742531369374994,132244,98485,4723.0,12.834239130434783
2014,Alabama,Henry,267,48937,18464571,3952264,2299258,5011008,1.2678829147040784,3358002,1653006,12576.786516853932,68.61887733208002
2014,Alabama,Houston,511,73765,28140405,5926200,3531419,7068619,1.1927742904390672,4673838,2394781,9146.454011741684,63.36118755507354
2014,Alabama,Jackson,185,55501,17246920,1874284,1284809,139882,0.07463223289533497,-449593,589475,-2430.2324324324322,-8.100628817498784
2014,Alabama,Lamar,16,4153,1311174,226561,146159,25512,0.11260543518081223,-54890,80402,-3430.625,-13.216951601252108
2014,Alabama,Lauderdale,339,69473,23003270,2538291,1880894,149951,0.059075574865135635,-507446,657397,-1496.8908554572272,-7.304218905186188
2014,Alabama,Lawrence,315,92533,31075092,3059109,2176936,47369,0.015484574103113031,-834804,882173,-2650.1714285714284,-9.02168955940043
2014,Alabama,Lee,24,4315,963530,119637,84846,46199,0.3861598000618538,11408,34791,475.3333333333333,2.643800695249131
2014,Alabama,Limestone,735,128503,41707559,3797441,2601808,198920,0.052382643996312254,-996713,1195633,-1356.0721088435373,-7.75634031890306
2014,Alabama,Lowndes,30,19601,3500961,395943,266116,210785,0.5323619813963121,80958,129827,2698.6,4.130299474516606
