Title,State,Fiscal Year,Amount,Average Monthly Participation
Title I: Commodities,AL,2018,130378647.989999,
Title I: Commodities,AL,2019,39749126.32,
Title I: Commodities,AL,2020,65908845.14,
Title I: Commodities,AL,2021,92702978.07,
Title I: Commodities,AL,2022,63671273.8,
Title I: Commodities,AK,2018,327181.339999999,
Title I: Commodities,AK,2019,585920.33,
Title I: Commodities,AK,2020,492221.689999999,
Title I: Commodities,AK,2021,173490.96,
Title I: Commodities,AK,2022,124165.669999999,
Title I: Commodities,AZ,2018,27635480.79,
Title I: Commodities,AZ,2019,19684956.74,
Title I: Commodities,AZ,2020,24118287.7599999,
Title I: Commodities,AZ,2021,66634975.4200001,
Title I: Commodities,AZ,2022,24578235.66,
Title I: Commodities,AR,2018,505591674.62,
Title I: Commodities,AR,2019,287389700.159999,
Title I: Commodities,AR,2020,353070971.52,
Title I: Commodities,AR,2021,331347636.25,
Title I: Commodities,AR,2022,190846726.45,
Title I: Commodities,CA,2018,145373671.54,
Title I: Commodities,CA,2019,72558488.7800005,
Title I: Commodities,CA,2020,50565819.8799998,
Title I: Commodities,CA,2021,181450496.459998,
Title I: Commodities,CA,2022,67624560.1800005,
Title I: Commodities,CO,2018,165032824.07,
Title I: Commodities,CO,2019,96070850.1999999,
Title I: Commodities,CO,2020,60507916.8299999,
Title I: Commodities,CO,2021,137745612.42,
Title I: Commodities,CO,2022,54586621.83,
Title I: Commodities,CT,2018,1567521,
Title I: Commodities,CT,2019,1258157.67,
Title I: Commodities,CT,2020,535331.77,
Title I: Commodities,CT,2021,2738660.92999999,
Title I: Commodities,CT,2022,1194042.08,
Title I: Commodities,DE,2018,12514663.83,
Title I: Commodities,DE,2019,1844117.99,
Title I: Commodities,DE,2020,6791844.8,
Title I: Commodities,DE,2021,5353955.94,
Title I: Commodities,DE,2022,1206783.7,
Title I: Commodities,FL,2018,60438811.96,
Title I: Commodities,FL,2019,35339427.89,
Title I: Commodities,FL,2020,43537129.5099999,
Title I: Commodities,FL,2021,50556422.8,
Title I: Commodities,FL,2022,32432087.84,
Title I: Commodities,GA,2018,278389532.059999,
Title I: Commodities,GA,2019,158280589.95,
Title I: Commodities,GA,2020,204531687.399999,
Title I: Commodities,GA,2021,283968350.24,
Title I: Commodities,GA,2022,210724235.289999,
Title I: Commodities,HI,2018,4137906.05,
Title I: Commodities,HI,2019,1597747.56,
Title I: Commodities,HI,2020,4312962.73999999,
Title I: Commodities,HI,2021,3800436.41,
Title I: Commodities,HI,2022,1750338,
Title I: Commodities,ID,2018,114130410.95,
Title I: Commodities,ID,2019,90956586.3799997,
Title I: Commodities,ID,2020,42342919.9499999,
Title I: Commodities,ID,2021,116223208.750001,
Title I: Commodities,ID,2022,61794857.91,
Title I: Commodities,IL,2018,391932402.84,
Title I: Commodities,IL,2019,68905416.1899999,
Title I: Commodities,IL,2020,16839978.3999999,
Title I: Commodities,IL,2021,416934835.149999,
Title I: Commodities,IL,2022,25016352.0399999,
Title I: Commodities,IN,2018,297522122.89,
Title I: Commodities,IN,2019,61258581.8999999,
Title I: Commodities,IN,2020,9411468.48,
Title I: Commodities,IN,2021,221928473.16,
Title I: Commodities,IN,2022,14173318.04,
Title I: Commodities,IA,2018,257433790.57,
Title I: Commodities,IA,2019,63702728.1799999,
Title I: Commodities,IA,2020,54053524.4099999,
Title I: Commodities,IA,2021,333155111.520001,
Title I: Commodities,IA,2022,24655094.42,
Title I: Commodities,KS,2018,489856420.249999,
Title I: Commodities,KS,2019,335013832.169999,
Title I: Commodities,KS,2020,230963199.76,
Title I: Commodities,KS,2021,466141292.86,
Title I: Commodities,KS,2022,150845900.409999,
Title I: Commodities,KY,2018,99069525.56,
Title I: Commodities,KY,2019,19436319.94,
Title I: Commodities,KY,2020,13521794.18,
Title I: Commodities,KY,2021,60978631.08,
Title I: Commodities,KY,2022,12572894.39,
Title I: Commodities,LA,2018,205549013.6,
Title I: Commodities,LA,2019,104579468.23,
Title I: Commodities,LA,2020,145451067.9,
Title I: Commodities,LA,2021,158461421.259999,
Title I: Commodities,LA,2022,83545772.7899999,
Title I: Commodities,ME,2018,3791201.52,
Title I: Commodities,ME,2019,3772057.71,
Title I: Commodities,ME,2020,994164.57,
Title I: Commodities,ME,2021,6439852.07999999,
Title I: Commodities,ME,2022,2939576.33,
Title I: Commodities,MD,2018,36225882.4,
Title I: Commodities,MD,2019,8368445.37999999,
Title I: Commodities,MD,2020,13111316.78,
Title I: Commodities,MD,2021,23043484.3999999,
Title I: Commodities,MD,2022,6317601.86,
Title I: Commodities,MA,2018,2181262.69,
Title I: Commodities,MA,2019,1583829.63999999,
Title I: Commodities,MA,2020,2673427.89,
Title I: Commodities,MA,2021,4036313.86999999,
Title I: Commodities,MA,2022,2309512,
Title I: Commodities,MI,2018,170786984.079999,
Title I: Commodities,MI,2019,82267179.9600002,
Title I: Commodities,MI,2020,26542307.1399999,
Title I: Commodities,MI,2021,126200209.23,
Title I: Commodities,MI,2022,27520548.65,
Title I: Commodities,MN,2018,249261643.68,
Title I: Commodities,MN,2019,73072043.1700001,
Title I: Commodities,MN,2020,89400292.5099996,
Title I: Commodities,MN,2021,455197818.060001,
Title I: Commodities,MN,2022,76239144.27,
Title I: Commodities,MS,2018,164118143.89,
Title I: Commodities,MS,2019,65566365.64,
Title I: Commodities,MS,2020,113050525.79,
Title I: Commodities,MS,2021,187674526.43,
Title I: Commodities,MS,2022,92954808.6,
Title I: Commodities,MO,2018,281924900.24,
Title I: Commodities,MO,2019,176833289.84,
