Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,,,,,,,,,,,,,,,,,0,0,0,50000,500000,950000,1500000,1350000,1500000,1600000,1650000
Argentina,17934000,18340000,21999000,24793000,26440000,28753000,33408000,35216000,36332000,33093000,36427000,39994000,38636000,38611000,41173000,45485000,49467000,49809000,43633000,47467000,46020000,47512000,46025000,36568000,43833000,50515000,48200000
Australia,115000,50000,68000,65000,64000,60000,59000,58000,43000,68000,67000,29000,83000,82000,33000,36000,37000,29000,44000,24000,20000,33000,46000,51000,61000,38000,42000
Bangladesh,,,10000,1000,60000,123000,127000,165000,161000,150000,127000,163000,333000,495000,668000,892000,901000,1259000,1390000,1880000,2310000,2660000,2435000,1660000,2105000,2005000,2455000
Barbados,25000,19000,17000,23000,23000,25000,19000,18000,26000,25000,23000,15000,21000,22000,22000,26000,26000,28000,28000,28000,29000,19000,24000,3000,14000,15000,15000
Belarus,,,,,,,,,,,,,,,,,50000,105000,315000,425000,545000,400000,340000,450000,500000,550000,600000
Benin,,,,,,,,,,,,,,,,90000,132000,98000,122000,176000,13000,-35000,-66000,258000,-59000,615000,300000
Bolivia,778000,995000,1213000,1669000,1772000,1826000,1841000,1800000,1235000,1535000,1670000,2178000,2205000,2435000,2565000,2815000,2920000,2520000,2875000,2975000,3125000,3475000,3525000,3475000,2880000,3480000,3530000
Bosnia and Herzegovina,9000,4000,5000,5000,21000,19000,31000,24000,21000,21000,35000,35000,35000,34000,36000,40000,33000,28000,31000,24000,13000,1000,7000,3000,13000,10000,10000
Brazil,22608000,24342000,26593000,29268000,31472000,31892000,30736000,33534000,34567000,34219000,36100000,38730000,40483000,37610000,39411000,43085000,42422000,43186000,47040000,45427000,49842000,49875000,54017000,57209000,58255000,62000000,64400000
Canada,2213000,2219000,2197000,2296000,2080000,2048000,1996000,1998000,1723000,1660000,1624000,1760000,1830000,1959000,2148000,2306000,2584000,2516000,2984000,3301000,2578000,2646000,2485000,2718000,2275000,2400000,2100000
Chile,67000,101000,145000,115000,188000,182000,189000,176000,175000,14000,18000,120000,48000,45000,70000,84000,100000,100000,100000,95000,95000,95000,80000,65000,70000,90000,95000
China,22854000,26706000,28310000,35290000,34372000,40213000,44440000,46126000,49568000,51500000,59700000,66000000,72300000,76700000,81000000,87800000,95900000,103500000,106800000,102600000,110400000,114900000,110300000,117500000,121800000,127400000,132900000
Colombia,340000,444000,610000,592000,525000,420000,422000,413000,342000,357000,396000,372000,330000,385000,478000,585000,640000,645000,675000,690000,640000,590000,600000,560000,630000,630000,630000
Costa Rica,223000,214000,253000,219000,212000,193000,195000,208000,230000,218000,226000,245000,255000,255000,225000,255000,270000,290000,295000,280000,275000,270000,275000,255000,255000,275000,275000
Cuba,10000,18000,100000,107000,160000,160000,96000,162000,123000,139000,126000,132000,132000,130000,126000,55000,99000,120000,119000,106000,94000,24000,16000,7000,13000,15000,15000
Ecuador,45000,74000,15000,30000,65000,78000,65000,63000,59000,65000,67000,70000,71000,71000,71000,33000,33000,42000,35000,26000,40000,27000,20000,59000,13000,29000,29000
Egypt,249000,289000,461000,288000,272000,665000,922000,1180000,1261000,1582000,1673000,1682000,1662000,1752000,1722000,1992000,1642000,2142000,3242000,3542000,4742000,3742000,4542000,2242000,3292000,4692000,4942000
