Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Argentina,4125000,7304000,5960000,8624000,6741000,9568000,7249000,9560000,13839000,5590000,13088000,9206000,7368000,7738000,7842000,10575000,9922000,7025000,2132000,9104000,10004000,5195000,2861000,4185000,5114000,7874000,8250000
Australia,0,11000,6000,8000,3000,5000,3000,3000,2000,7000,2000,2000,2000,9000,3000,3000,4000,3000,3000,2000,1000,12000,12000,5000,5000,10000,10000
Bangladesh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,,,,,,,,,,,,,,,,0,0,26000,7000,1000,1000,1000,1000,1000,1000,0
Benin,,,,,,,,,,,,,,,,0,3000,56000,43000,39000,239000,299000,357000,166000,580000,20000,400000
Bolivia,445000,250000,155000,130000,74000,150000,58000,80000,79000,123000,50000,24000,322000,523000,141000,8000,91000,13000,8000,13000,17000,111000,588000,473000,179000,200000,300000
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,3000,2000,1000,6000,14000,11000,6000,7000,7000,7000
Brazil,11101000,15469000,14504000,19629000,20417000,20137000,25911000,23485000,25364000,29987000,28578000,29951000,36257000,41904000,46829000,50612000,54383000,63137000,76136000,74887000,92129000,81648000,79063000,95530000,104191000,103143000,114000000
Canada,949000,747000,502000,726000,914000,1124000,1326000,1683000,1753000,2017000,2247000,2943000,2933000,3470000,3469000,3855000,4236000,4592000,4925000,5239000,3909000,4554000,4289000,4240000,4850000,5448000,5100000
Chile,0,0,0,1000,0,1000,1000,2000,3000,13000,13000,11000,6000,5000,3000,4000,5000,8000,7000,5000,8000,7000,3000,3000,3000,1000,2000
China,230000,208000,300000,265000,319000,390000,354000,446000,453000,400000,184000,190000,275000,266000,215000,143000,114000,114000,134000,116000,90000,70000,102000,90000,70000,72000,100000
Colombia,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,21000,30000,64000,67000,22000,3000,0,5000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,1000,1000,0,1000,1000,0,0,0,0,0,0,0,2000,0,0,0,0,0
Ethiopia,,,,,,0,0,0,3000,0,0,1000,0,16000,15000,16000,75000,41000,93000,123000,76000,66000,53000,170000,125000,45000,100000
European Union,29000,22000,41000,24000,40000,44000,78000,60000,44000,36000,60000,95000,54000,92000,57000,116000,144000,265000,348000,246000,254000,192000,292000,230000,256000,334000,303000
Ghana,,,,,,,,,,,,0,0,0,0,0,4000,17000,4000,8000,27000,29000,32000,43000,77000,80000,80000
Guatemala,1000,1000,1000,3000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,17000,60000,1000,5000,239000,6000,6000,1000,12000,55000,15000,18000,39000,115000,183000,234000,134000,268000,217000,165000,80000,32000,61000,22000,8000,12000,20000
Indonesia,0,0,0,0,1000,1000,1000,2000,1000,0,0,0,1000,2000,39000,3000,2000,2000,1000,4000,2000,3000,12000,2000,3000,3000,2000
Iran,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,7000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,,,,,,,0,2000,5000,0,6000,3000,17000,21000,21000,16000,18000,16000,32000,30000,42000,30000,33000,45000,36000,39000,35000
Lebanon,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,10000,17000,30000,23000,17000,18000,14000,18000,26000,29000,22000,25000,29000,18000,23000,16000,58000,47000,17000,13000,14000,7000,9000,9000,13000,10000,15000
Mexico,0,0,0,1000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,8000,0,10000
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,4000,1000,1000,0,1000,0,0,0,0,0,0,0,0,3000,14000,16000,12000,0,12000,10000,10000
Nicaragua,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,115000,28000,7000,8000,7000,7000,39000,367000,5000,50000
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,70000,1000,0,0
Panama,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2100000,2400000,2116000,3005000,2551000,2955000,2166000,3909000,4479000,2115000,4659000,5094000,3162000,5082000,4844000,4576000,5400000,6124000,6029000,4901000,6619000,6330000,2273000,6495000,7987000,6500000,7700000
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,45000,12000,0,1000,1000,9000,3000,16000,5000,2000,0,1000,90000,102000,24000,313000,456000,375000,891000,797000,1298000,1355000,900000,1500000,1400000,1025000,2000000
Saudi Arabia,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serbia, Montenegro, and Kosovo",0,0,10000,10000,2000,2000,3000,4000,1000,2000,5000,82000,17000,6000,23000,136000,68000,186000,28000,143000,252000,143000,15000,5000,8000,6000,10000
Singapore,0,3000,2000,2000,2000,2000,1000,1000,1000,0,1000,0,1000,1000,1000,2000,0,0,0,0,0,0,1000,0,0,0,0
South Africa,2000,0,5000,4000,67000,53000,0,0,71000,131000,124000,50000,155000,18000,2000,6000,8000,2000,34000,7000,2000,47000,282000,637000,148000,500000,450000
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,1000,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,1000,0,1000,1000,1000,1000,1000,1000,2000,1000,1000,3000,2000,2000,6000,13000,6000,5000,3000,4000,3000,1000,1000,1000,0,1000,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,1000,0,0,0,0,0,0,0,3000,26000,47000,119000,199000,187000,61000,116000,105000,61000,134000,70000,67000,151000,100000
Uganda,0,15000,16000,1000,0,0,1000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,10000,10000,9000,9000,17000,3000,19000,20000,20000,20000
Ukraine,7000,12000,1000,7000,61000,36000,224000,420000,190000,277000,263000,989000,1338000,1323000,1261000,2422000,2369000,2904000,2757000,2531000,2633000,1466000,1385000,3097000,3262000,4173000,2700000
United Arab Emirates,57000,,1000,0,1000,4000,0,0,0,0,0,1000,0,0,1000,0,0,1000,4000,4000,0,0,0,0,0,0,0
United States of America,26537000,27103000,28948000,28423000,24128000,29860000,25579000,30386000,31538000,34817000,40798000,40959000,37186000,36129000,44594000,50136000,52869000,58964000,58071000,47721000,45800000,61664000,58570000,53864000,46266000,51227000,42864000
Uruguay,0,14000,62000,180000,327000,456000,653000,813000,818000,1097000,1974000,1697000,2562000,3527000,3150000,3113000,2221000,3199000,1354000,2967000,2148000,1774000,3049000,775000,2731000,3750000,2900000
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,1000,2000,4000,5000,0,0,0,0,0,0,7000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,4000,0,3000,0,3000,0,0,0,0,0,0,0,0,0,0,0,41000,57000,3000,10000,27000,21000,16000,62000,40000,30000,30000
Zimbabwe,24000,22000,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0
