Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,,,,,,,,,,,,,,,,,0,0,0,97000,593000,930000,1535000,1355000,1642000,1585000,1700000
Argentina,218000,320000,251000,383000,537000,692000,584000,1986000,2954000,1241000,1000,13000,0,2000,1000,2000,676000,1674000,4703000,6408000,4882000,4816000,3839000,9059000,7787000,6324000,7700000
Australia,18000,0,18000,65000,9000,1000,1000,11000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5000,4000,2000,2000,2000,1000,2000,2000
Bangladesh,,,10000,1000,60000,131000,126000,195000,131000,185000,104000,50000,256000,398000,572000,696000,1128000,813000,1179000,1733000,2551000,2255000,2540000,1196000,2020000,1826000,2400000
Barbados,25000,19000,17000,23000,23000,25000,19000,18000,27000,25000,22000,15000,26000,17000,22000,28000,26000,27000,32000,28000,24000,19000,24000,3000,14000,15000,15000
Belarus,,,,,,,,,,,,,,,,,55000,112000,343000,439000,549000,387000,342000,450000,510000,550000,600000
Benin,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2000,0,0,0
Bolivia,170000,191000,246000,220000,150000,157000,209000,228000,64000,8000,5000,11000,10000,10000,7000,11000,8000,10000,3000,4000,6000,5000,4000,4000,2000,5000,5000
Bosnia and Herzegovina,0,0,1000,2000,16000,10000,21000,10000,8000,21000,27000,53000,22000,16000,19000,33000,25000,19000,26000,18000,12000,8000,11000,2000,13000,10000,10000
Brazil,674000,733000,1112000,1321000,328000,475000,63000,53000,150000,44000,174000,37000,128000,395000,605000,305000,410000,252000,175000,140000,549000,1015000,539000,154000,867000,731000,500000
Canada,455000,431000,982000,651000,613000,386000,349000,234000,309000,387000,375000,250000,230000,270000,340000,337000,286000,486000,488000,1172000,263000,516000,541000,500000,335000,249000,360000
Chile,67000,101000,145000,116000,188000,183000,190000,178000,178000,27000,31000,156000,29000,50000,77000,99000,111000,96000,122000,96000,96000,99000,78000,67000,71000,91000,100000
China,10100000,13245000,10385000,21417000,16933000,25802000,28317000,28726000,37816000,41098000,50338000,52339000,59231000,59865000,70364000,78350000,83230000,93495000,94093000,82537000,98532000,99740000,90297000,104500000,112000000,108000000,112000000
Colombia,288000,387000,559000,515000,460000,329000,372000,338000,265000,290000,348000,308000,258000,328000,436000,552000,544000,561000,599000,619000,542000,443000,526000,444000,447000,561000,530000
Costa Rica,223000,214000,253000,219000,212000,193000,195000,208000,230000,218000,244000,227000,259000,251000,225000,265000,285000,316000,296000,274000,247000,272000,264000,266000,256000,281000,280000
Cuba,10000,18000,104000,108000,160000,160000,96000,162000,118000,141000,126000,132000,134000,125000,126000,55000,99000,120000,119000,106000,94000,24000,16000,7000,13000,15000,15000
Ecuador,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,6000
Egypt,230000,277000,446000,270000,243000,762000,776000,1328000,1061000,1575000,1638000,1644000,1661000,1725000,1694000,1947000,1575000,2114000,3255000,3600000,4882000,3607000,4566000,1993000,3321000,4798000,4900000
Ethiopia,,,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
European Union,14122000,17675000,18783000,17023000,14751000,14591000,14014000,15181000,15139000,13213000,12683000,12472000,12070000,12538000,13293000,13914000,15120000,13487000,14661000,15010000,15774000,15453000,15416000,14037000,14442000,15789000,14950000
Ghana,,,,,,,,,,,,0,0,0,0,0,0,0,16000,6000,0,0,0,1000,2000,0,0
Guatemala,1000,13000,5000,10000,4000,9000,21000,3000,1000,0,0,14000,14000,15000,26000,21000,15000,12000,0,0,4000,6000,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,4000,11000,53000,79000,166000,204000,520000,548000,555000,702000,634000,4000,400000
Indonesia,1153000,1127000,1414000,1238000,1059000,1112000,1187000,1309000,1147000,1393000,1620000,1898000,1922000,1795000,2241000,2006000,2274000,2649000,2484000,2623000,2636000,2617000,2307000,2308000,2567000,2439000,2750000
Iran,400000,596000,400000,533000,883000,976000,401000,1262000,1141000,853000,1013000,930000,182000,127000,260000,1384000,1864000,1914000,2559000,2360000,1547000,2777000,1817000,2803000,2554000,2693000,2750000
