Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Argentina,21200000,27800000,30000000,35500000,33000000,39000000,40500000,48800000,46200000,32000000,54500000,49000000,40100000,49300000,53400000,61450000,58800000,55000000,37800000,55300000,48800000,46200000,43900000,25000000,48210000,51108000,48500000
Australia,105000,49000,63000,18000,74000,54000,56000,32000,35000,80000,60000,30000,86000,92000,32000,37000,40000,31000,51000,15000,17000,44000,57000,52000,65000,47000,52000
Bangladesh,,,0,0,0,0,0,0,0,0,0,96000,105000,112000,135000,133000,152000,153000,156000,156000,156000,135000,140000,145000,145000,155000,160000
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Benin,,,,,,,,,,,,,,,,100000,140000,157000,165000,222000,257000,254000,291000,422000,521000,652000,700000
Bolivia,1190000,1148000,1243000,1584000,1584000,1689000,1615000,1641000,1239000,1698000,1934000,2320000,2429000,2646000,2814000,3106000,3205000,2671000,2819000,2991000,3194000,3648000,3617000,3670000,3216000,3700000,3900000
Bosnia and Herzegovina,9000,4000,4000,7000,5000,9000,12000,13000,8000,8000,8000,8000,7000,7000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
Brazil,34700000,39500000,43500000,52000000,51000000,53000000,57000000,59000000,61000000,57800000,69000000,75300000,66500000,82000000,86200000,97100000,95700000,114900000,123400000,120500000,128500000,139500000,130500000,162000000,154500000,171500000,178000000
Canada,2776000,2703000,1635000,2336000,2273000,3044000,3156000,3466000,2686000,3336000,3581000,4445000,4467000,5086000,5356000,6045000,6456000,6597000,7717000,7417000,6145000,6359000,6224000,6543000,6981000,7568000,6793000
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,14250000,15409000,15410000,16507000,15394000,17401000,16350000,15082000,12793000,15709000,15224000,15410000,14879000,13436000,12407000,12686000,12367000,13596000,15283000,15967000,18092000,19602000,16395000,20284000,20840000,20650000,20900000
Colombia,52000,62000,62000,81000,92000,78000,62000,55000,53000,63000,65000,64000,60000,67000,68000,70000,88000,81000,80000,92000,114000,119000,122000,142000,110000,115000,135000
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,66000,104000,67000,97000,86000,86000,63000,65000,65000,65000,70000,70000,70000,70000,70000,33000,33000,42000,35000,26000,40000,27000,20000,29000,13000,29000,23000
Egypt,19000,12000,15000,18000,29000,43000,26000,23000,26000,29000,26000,43000,30000,26000,33000,40000,47000,45000,36000,47000,36000,36000,25000,56000,85000,85000,85000
Ethiopia,,,,,,1000,1000,4000,6000,8000,8000,16000,36000,64000,61000,72000,90000,81000,86000,149000,126000,209000,186000,240000,240000,250000,260000
European Union,1522000,1323000,1467000,1122000,908000,1166000,1294000,1402000,814000,747000,951000,1198000,1221000,950000,1215000,1839000,2332000,2465000,2619000,2737000,2711000,2600000,2833000,2610000,2811000,2930000,2785000
Ghana,,,,,,,,,,,,146000,165000,152000,139000,141000,142000,143000,170000,177000,193000,209000,218000,255000,360000,358000,360000
Guatemala,51000,30000,32000,35000,34000,36000,36000,35000,35000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,18000,36000,36000,36000,36000
India,5200000,5250000,5400000,4000000,6800000,5850000,7388000,7150000,9473000,9308000,9700000,10130000,11940000,12186000,9477000,8711000,6929000,10992000,8350000,10930000,9300000,10456000,11889000,12411000,11875000,12582000,10500000
Indonesia,1300000,1020000,870000,780000,820000,825000,832000,815000,780000,800000,700000,650000,620000,600000,650000,630000,580000,565000,540000,520000,480000,475000,425000,390000,375000,350000,320000
Iran,80000,142000,130000,190000,190000,198000,210000,185000,179000,180000,172000,157000,116000,168000,151000,143000,140000,139000,200000,160000,170000,169000,160000,170000,165000,170000,170000
Iraq,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,187000,235000,271000,270000,232000,163000,226000,229000,227000,262000,230000,223000,219000,236000,200000,226000,242000,238000,249000,213000,212000,219000,238000,243000,247000,273000,250000
Kazakhstan,,,,,,,0,77000,83000,89000,94000,114000,133000,170000,203000,218000,220000,231000,252000,255000,282000,261000,238000,250000,204000,208000,210000
Lebanon,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,123000,103000,66000,89000,125000,132000,187000,80000,88000,153000,121000,168000,205000,248000,239000,387000,341000,521000,433000,335000,235000,246000,288000,175000,199000,278000,280000
Morocco,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,85000,99000,109000,119000,122000,147000,158000,186000,201000,214000,240000,254000,255000,162000,163000,161000,157000,154000,149000,145000,144000,142000,135000,134000,136000,140000,140000
