State Code,County Code,State Name,County Name,Crop Code,Crop Name,Crop Type Name,Crop Type,Intended Use,Planted Acres,Prevented Acres,Failed Acres
01,001,AL,AUTAUGA,0102,GRASS,ANNUAL RYEGRASS,RAN,FG,66.9,0,0
01,001,AL,AUTAUGA,0102,GRASS,ANNUAL RYEGRASS,RAN,SD,45,0,0
01,001,AL,AUTAUGA,0047,BEANS,BABY LIMA,BBL,FH,0,0,0
01,001,AL,AUTAUGA,0102,GRASS,BAHIA,BHI,FG,1436.6,0,0
01,001,AL,AUTAUGA,0102,GRASS,BAHIA,BHI,GZ,6253.5,0,0
01,001,AL,AUTAUGA,0102,GRASS,BAHIA,BHI,SD,470.8,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,BANANA,BAN,FH,0,0,0
01,001,AL,AUTAUGA,0156,POTATOES SWEET,BEAUREGARD,BEA,FH,0,0,0
01,001,AL,AUTAUGA,0047,BEANS,BUTTER,BUT,FH,15.17,5,0
01,001,AL,AUTAUGA,0067,PEAS,BUTTER,BUT,FH,0,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,CAYENNE,CAY,FH,0,0,0
01,001,AL,AUTAUGA,0087,TOMATOES,CHERRY,CHR,FH,0,0,0
01,001,AL,AUTAUGA,0318,EGGPLANT,CHERRY EGGPLANT,CHE,FH,0,0,0
01,001,AL,AUTAUGA,0102,GRASS,COASTAL BERMUDA,BCS,FG,3823,0,0
01,001,AL,AUTAUGA,0102,GRASS,COASTAL BERMUDA,BCS,GZ,553.6,0,0
01,001,AL,AUTAUGA,4000,GREENS,COLLARDS,COL,FH,3.6,14.8,0
01,001,AL,AUTAUGA,0132,CUCUMBERS,COMMON,COM,FH,1.9,0,0
01,001,AL,AUTAUGA,0322,GOURDS,COMMON,COM,FH,2,0,0
01,001,AL,AUTAUGA,0080,MILLET,COMMON,COM,SD,31.9,0,0
01,001,AL,AUTAUGA,0081,SOYBEANS,COMMON,COM,GR,1703,0,0
01,001,AL,AUTAUGA,0757,WATERMELON,COMMON,COM,FH,129.88,38.1,0
01,001,AL,AUTAUGA,0102,GRASS,COMMON BERMUDA,BCM,FG,0,0,0
01,001,AL,AUTAUGA,0102,GRASS,COMMON BERMUDA,BCM,GZ,77.6,0,0
01,001,AL,AUTAUGA,0067,PEAS,CREAM,CRM,FH,13.75,0,0
01,001,AL,AUTAUGA,0067,PEAS,CROWDER,CRO,FH,19.9,0,0
01,001,AL,AUTAUGA,0067,PEAS,ENGLISH/GARDEN,ENG,FH,11,0,0
01,001,AL,AUTAUGA,0102,GRASS,"FESCUE, TALL",FTA,FG,93.4,0,0
01,001,AL,AUTAUGA,0102,GRASS,"FESCUE, TALL",FTA,GZ,221.1,0,0
01,001,AL,AUTAUGA,1010,NURSERY,FIELD,FLD,,127.6,0,0
01,001,AL,AUTAUGA,0051,SORGHUM,GRAIN,GRS,GR,52.9,0,0
01,001,AL,AUTAUGA,0047,BEANS,GREEN,GRN,FH,6.11,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,GREEN BELL,GRN,FH,0,0,0
01,001,AL,AUTAUGA,0011,WHEAT,HARD RED WINTER,HRW,GR,1114,24.8,0
01,001,AL,AUTAUGA,0087,TOMATOES,HYBRID,HYB,FH,0.07,0,0
01,001,AL,AUTAUGA,4000,GREENS,HYBRID MUSTARD,HYB,FH,0.5,0,0
01,001,AL,AUTAUGA,0757,WATERMELON,ICE BOX/SUGAR BABIES,SUG,FH,4.38,0,0
01,001,AL,AUTAUGA,0146,PECANS,IMPROVED PECANS,IMP,,174.7,0,0
01,001,AL,AUTAUGA,0147,PUMPKINS,JACK-O-LANTERN,JAC,FH,1,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,JALAPENO,JAL,FH,0.25,0,0
01,001,AL,AUTAUGA,0757,WATERMELON,JUBILEE,JUB,FH,143.1,84.83,0
01,001,AL,AUTAUGA,0102,GRASS,NATIVE,NAG,GZ,13860.97,0,0
01,001,AL,AUTAUGA,0047,BEANS,POLE,PLE,FH,1.49,0,0
01,001,AL,AUTAUGA,0067,PEAS,PURPLE HULL,PHL,FH,221.1,25,0
01,001,AL,AUTAUGA,0075,PEANUTS,RUNNER PEANUTS,RUN,NP,679.3,0,0
01,001,AL,AUTAUGA,0757,WATERMELON,SEEDLESS,SED,FH,0,0,0
01,001,AL,AUTAUGA,0011,WHEAT,SOFT RED WINTER,SRW,GR,548.7,0,0
01,001,AL,AUTAUGA,0757,WATERMELON,STRIPED,STR,FH,0,0,0
01,001,AL,AUTAUGA,0155,SQUASH,SUMMER SQUASH,SUM,FH,53.98,5.6,0
01,001,AL,AUTAUGA,0078,SUNFLOWERS,SUNFLOWER OIL,OIL,SD,18,0,0
01,001,AL,AUTAUGA,0041,CORN,SWEET,SWT,FH,70.31,14.4,0
01,001,AL,AUTAUGA,4000,GREENS,TURNIP,TUR,FH,5.27,9.6,0
01,001,AL,AUTAUGA,0016,OATS,WINTER,WTR,GZ,136,0,0
01,001,AL,AUTAUGA,0155,SQUASH,WINTER SQUASH,WTR,FH,0,0,0
01,001,AL,AUTAUGA,0041,CORN,YELLOW,YEL,GR,1043.9,0,0
01,001,AL,AUTAUGA,0041,CORN,YELLOW,YEL,GZ,11.8,0,0
01,001,AL,AUTAUGA,0155,SQUASH,ZUCCHINI SQUASH,ZUC,FH,0,0,0
01,001,AL,AUTAUGA,0759,CANTALOUPES,,,FH,10,6,0
01,001,AL,AUTAUGA,0099,CRP,,,1,7.9,0,0
01,001,AL,AUTAUGA,0099,CRP,,,11,551.2,0,0
01,001,AL,AUTAUGA,0099,CRP,,,12,14.8,0,0
01,001,AL,AUTAUGA,0099,CRP,,,21,19.6,0,0
01,001,AL,AUTAUGA,0099,CRP,,,22,12.5,0,0
01,001,AL,AUTAUGA,0099,CRP,,,3,3198.2,0,0
01,001,AL,AUTAUGA,0099,CRP,,,30,791.5,0,0
01,001,AL,AUTAUGA,0099,CRP,,,4,339.5,0,0
01,001,AL,AUTAUGA,0101,FALLOW,,,,132.6,0,0
01,001,AL,AUTAUGA,0758,HONEYDEW,,,FH,2,0,0
01,001,AL,AUTAUGA,0286,OKRA,,,FH,11.82,0,0
01,001,AL,AUTAUGA,0094,RYE,,,GR,100,0,0
01,001,AL,AUTAUGA,0094,RYE,,,SD,12.1,0,0
01,001,AL,AUTAUGA,0790,SKIP ROWS,,,,132.6,0,0
01,001,AL,AUTAUGA,7506,"TREES, TIMBER",,,,1637.9,0,0
01,001,AL,AUTAUGA,0158,TRITICALE,,,GR,27.5,0,0
01,001,AL,AUTAUGA,0105,TURN AREAS,,,,12.6,0,0
01,001,AL,AUTAUGA,0021,"COTTON, UPLAND",,,,5041.7,0,0
01,001,AL,AUTAUGA,0777,WILDLIFE FOOD PLOT,,,,933.1,0,0
01,003,AL,BALDWIN,0102,GRASS,ANNUAL RYEGRASS,RAN,GZ,116.5,0,0
01,003,AL,BALDWIN,0102,GRASS,ANNUAL RYEGRASS,RAN,LS,17.6,0,0
01,003,AL,BALDWIN,0102,GRASS,ANNUAL RYEGRASS,RAN,SD,36.9,0,0
01,003,AL,BALDWIN,0102,GRASS,ANNUAL RYEGRASS,RAN,FG,9.7,0,0
01,003,AL,BALDWIN,0102,GRASS,BAHIA,BHI,FG,2753.4,0,0
01,003,AL,BALDWIN,0102,GRASS,BAHIA,BHI,GZ,6619.3,0,0
01,003,AL,BALDWIN,0102,GRASS,BAHIA,BHI,LS,2241.4,0,0
01,003,AL,BALDWIN,0102,GRASS,BAHIA,BHI,SO,18.2,0,0
01,003,AL,BALDWIN,0156,POTATOES SWEET,BEAUREGARD,BEA,FH,1329.9,0,0
01,003,AL,BALDWIN,0047,BEANS,BUTTER,BUT,FH,6,0,0
01,003,AL,BALDWIN,0102,GRASS,CENTIPEDE,CEN,SO,4569.1,0,0
01,003,AL,BALDWIN,0318,EGGPLANT,CHERRY EGGPLANT,CHE,FH,0.5,0,0
01,003,AL,BALDWIN,0102,GRASS,COASTAL BERMUDA,BCS,FG,849.7,0,0
01,003,AL,BALDWIN,0102,GRASS,COASTAL BERMUDA,BCS,GZ,213.7,0,0
01,003,AL,BALDWIN,0102,GRASS,COASTAL BERMUDA,BCS,LS,34.7,0,0
01,003,AL,BALDWIN,4000,GREENS,COLLARDS,COL,FH,7,0,0
01,003,AL,BALDWIN,0080,MILLET,COMMON,COM,FG,195.1,0,0
01,003,AL,BALDWIN,0080,MILLET,COMMON,COM,GZ,490,0,0
01,003,AL,BALDWIN,0080,MILLET,COMMON,COM,SD,874.2,0,0
01,003,AL,BALDWIN,0081,SOYBEANS,COMMON,COM,GR,22251.51,0,0
01,003,AL,BALDWIN,0757,WATERMELON,COMMON,COM,FH,0,0,0
01,003,AL,BALDWIN,0102,GRASS,COMMON BERMUDA,BCM,SO,202.3,0,0
01,003,AL,BALDWIN,1010,NURSERY,CONTAINER,CON,,71.8,0,0
01,003,AL,BALDWIN,0132,CUCUMBERS,ENGLISH,ENG,FH,0.25,0,0
01,003,AL,BALDWIN,1010,NURSERY,FIELD,FLD,,66.5,0,0
01,003,AL,BALDWIN,0051,SORGHUM,GRAIN,GRS,GR,491.8,0,0
01,003,AL,BALDWIN,0047,BEANS,GREEN,GRN,FH,2,0,0
01,003,AL,BALDWIN,0083,PEPPERS,GREEN BELL,GRN,FH,0.75,0,0
01,003,AL,BALDWIN,0108,BLUEBERRIES,HIGHBUSH,HBS,FH,8.4,0,0
01,003,AL,BALDWIN,0147,PUMPKINS,HOWDEN PUMPKINS,HOD,FH,0,0,0
01,003,AL,BALDWIN,0087,TOMATOES,HYBRID,HYB,FH,3.5,0,0
01,003,AL,BALDWIN,0102,GRASS,HYBRID BERMUDA,BGH,FG,44.9,0,0
01,003,AL,BALDWIN,4000,GREENS,HYBRID MUSTARD,HYB,FH,0,0,0
01,003,AL,BALDWIN,0160,TURNIPS,HYBRID TURNIP,HYB,FH,0,0,0
01,003,AL,BALDWIN,0757,WATERMELON,ICE BOX/SUGAR BABIES,SUG,FH,4,0,0
01,003,AL,BALDWIN,0146,PECANS,IMPROVED PECANS,IMP,,1234,0,0
01,003,AL,BALDWIN,0084,POTATOES,IRISH REDSKINNED POTATOES,IRS,FH,201.7,0,0
01,003,AL,BALDWIN,0147,PUMPKINS,JACK-O-LANTERN,JAC,FH,0,0,0
01,003,AL,BALDWIN,0757,WATERMELON,JUBILEE,JUB,FH,60.4,0,0
01,003,AL,BALDWIN,7321,CHRISTMAS TREES,LEYLAND,LEY,FH,13.5,0,0
01,003,AL,BALDWIN,0023,ORANGES,MANDARINS,MND,FH,10,0,0
01,003,AL,BALDWIN,0102,GRASS,NATIVE,NAG,FG,348.6,0,0
01,003,AL,BALDWIN,0146,PECANS,NATIVE PECANS,NAT,,1154.1,0,0
01,003,AL,BALDWIN,0067,PEAS,PURPLE HULL,PHL,FH,4,0,0
01,003,AL,BALDWIN,0108,BLUEBERRIES,RABBITEYE BLUEBERRIES,RAB,FH,15.6,0,0
01,003,AL,BALDWIN,7321,CHRISTMAS TREES,RED CEDAR,RED,FH,0.7,0,0
01,003,AL,BALDWIN,0084,POTATOES,REDS,RED,FH,179.1,0,0
01,003,AL,BALDWIN,0075,PEANUTS,RUNNER PEANUTS,RUN,GP,30,0,0
01,003,AL,BALDWIN,0075,PEANUTS,RUNNER PEANUTS,RUN,NP,15932.3,0,0
01,003,AL,BALDWIN,0102,GRASS,SAINT AUGUSTINE,STA,SO,550.8,0,0
