State,County Code,State Abbrev,County Name,Crop Code,Crop Name,Crop Type Name,Crop Type,Intended Use,Planted Acres,Prevented Acres,Failed Acres
01,001,AL,AUTAUGA,0047,BEANS,BABY LIMA,BBL,FH,0,0,0
01,001,AL,AUTAUGA,0047,BEANS,BUTTER,BUT,FH,4.73,0,0
01,001,AL,AUTAUGA,0047,BEANS,GREEN,GRN,FH,7,0,0
01,001,AL,AUTAUGA,0047,BEANS,POLE,PLE,FH,1.66,0,0
01,001,AL,AUTAUGA,0759,CANTALOUPES,,,FH,24.4,0,0
01,001,AL,AUTAUGA,0041,CORN,SWEET,SWT,FH,47.1,0,0
01,001,AL,AUTAUGA,0041,CORN,YELLOW,YEL,GR,1347.6,0,0
01,001,AL,AUTAUGA,0021,"COTTON, UPLAND",,,,6536.7,0,0
01,001,AL,AUTAUGA,0099,CRP,,,1,62.8,0,0
01,001,AL,AUTAUGA,0099,CRP,,,11,388.6,0,0
01,001,AL,AUTAUGA,0099,CRP,,,12,12,0,0
01,001,AL,AUTAUGA,0099,CRP,,,21,8.5,0,0
01,001,AL,AUTAUGA,0099,CRP,,,22,12.5,0,0
01,001,AL,AUTAUGA,0099,CRP,,,3,3358.5,0,0
01,001,AL,AUTAUGA,0099,CRP,,,30,729.1,0,0
01,001,AL,AUTAUGA,0099,CRP,,,4,339.5,0,0
01,001,AL,AUTAUGA,0132,CUCUMBERS,COMMON,COM,FH,1.1,0,0
01,001,AL,AUTAUGA,0318,EGGPLANT,CHERRY EGGPLANT,CHE,FH,0,0,0
01,001,AL,AUTAUGA,0101,FALLOW,,,,97.7,0,0
01,001,AL,AUTAUGA,0102,GRASS,ANNUAL RYEGRASS,RAN,SD,15,0,0
01,001,AL,AUTAUGA,0102,GRASS,BAHIA,BHI,SD,128.9,0,0
01,001,AL,AUTAUGA,0102,GRASS,BAHIA,BHI,FG,2023.04,0,0
01,001,AL,AUTAUGA,0102,GRASS,BAHIA,BHI,GZ,5908,0,0
01,001,AL,AUTAUGA,0102,GRASS,COASTAL BERMUDA,BCS,FG,3734.7,0,0
01,001,AL,AUTAUGA,0102,GRASS,COASTAL BERMUDA,BCS,GZ,500.2,0,0
01,001,AL,AUTAUGA,0102,GRASS,COMMON BERMUDA,BCM,FG,0,0,0
01,001,AL,AUTAUGA,0102,GRASS,COMMON BERMUDA,BCM,GZ,81.1,0,0
01,001,AL,AUTAUGA,0102,GRASS,"FESCUE, TALL",FTA,FG,93.4,0,0
01,001,AL,AUTAUGA,0102,GRASS,"FESCUE, TALL",FTA,GZ,221.1,0,0
01,001,AL,AUTAUGA,0102,GRASS,NATIVE,NAG,FG,9.3,0,0
01,001,AL,AUTAUGA,0102,GRASS,NATIVE,NAG,GZ,14141.3,0,0
01,001,AL,AUTAUGA,4000,GREENS,COLLARDS,COL,FH,10.7,0,0
01,001,AL,AUTAUGA,4000,GREENS,TURNIP,TUR,FH,32.11,0,0
01,001,AL,AUTAUGA,0758,HONEYDEW,,,FH,0.5,0,0
01,001,AL,AUTAUGA,0080,MILLET,COMMON,COM,SD,2,0,0
01,001,AL,AUTAUGA,0016,OATS,WINTER,WTR,SD,0,59,0
01,001,AL,AUTAUGA,0286,OKRA,,,FH,8.35,0,0
01,001,AL,AUTAUGA,0142,ONIONS,"SWEET, EARLY",SWE,SE,0.12,0,0
01,001,AL,AUTAUGA,0075,PEANUTS,RUNNER PEANUTS,RUN,NP,610.6,0,0
01,001,AL,AUTAUGA,0067,PEAS,CREAM,CRM,FH,9.69,0,0
01,001,AL,AUTAUGA,0067,PEAS,CROWDER,CRO,FH,18.5,0,0
01,001,AL,AUTAUGA,0067,PEAS,PURPLE HULL,PHL,FH,156.3,0,0
01,001,AL,AUTAUGA,0146,PECANS,IMPROVED PECANS,IMP,,197.3,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,BANANA,BAN,FH,0,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,CAYENNE,CAY,FH,0,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,GREEN BELL,GRN,FH,0.01,0,0
01,001,AL,AUTAUGA,0083,PEPPERS,JALAPENO,JAL,FH,0.01,0,0
01,001,AL,AUTAUGA,0084,POTATOES,IRISH REDSKINNED POTATOES,IRS,FH,1.1,0,0
01,001,AL,AUTAUGA,0156,POTATOES SWEET,BEAUREGARD,BEA,FH,0,0,0
01,001,AL,AUTAUGA,0147,PUMPKINS,JACK-O-LANTERN,JAC,FH,0,0,0
01,001,AL,AUTAUGA,0051,SORGHUM,GRAIN,GRS,GR,17.7,0,0
01,001,AL,AUTAUGA,0081,SOYBEANS,COMMON,COM,GR,1543.3,0,0
01,001,AL,AUTAUGA,0155,SQUASH,ACORN SQUASH,ACN,FH,0.5,0,0
01,001,AL,AUTAUGA,0155,SQUASH,SUMMER SQUASH,SUM,FH,31.85,0,0
01,001,AL,AUTAUGA,0155,SQUASH,WINTER SQUASH,WTR,FH,0,0,0
01,001,AL,AUTAUGA,0155,SQUASH,ZUCCHINI SQUASH,ZUC,FH,0.5,0,0
01,001,AL,AUTAUGA,0038,SUGARCANE,,,FH,0.5,0,0
