State Code,County Code,State Name,County Name,Crop Code,Crop Name,Crop Type,Crop Type Name,Intended Use,Planted Total,Prevented Total,Failed Total,Volunteer Total,Not Planted Total,Plant and Fail Total,Planted Irrigated,Prevented Irrigated,Failed Irrigated,Volunteer Irrigated,Not Planted Irrigated,Plant and Fail Irrigated,Planted Nonirrigated,Prevented Nonirrigated,Failed Nonirrigated,Volunteer Nonirrigated,Not Planted Nonirrigated,Plant and Fail Nonirrigated
01,001,ALABAMA,AUTAUGA,0011,WHEAT,HRW,HARD RED WINTER,GR,203.5,0,0,0,0,203.5,0,0,0,0,0,0,203.5,0,0,0,0,203.5
01,001,ALABAMA,AUTAUGA,0011,WHEAT,HRW,HARD RED WINTER,GS,6.8,0,0,0,0,6.8,0,0,0,0,0,0,6.8,0,0,0,0,6.8
01,001,ALABAMA,AUTAUGA,0011,WHEAT,HWR,HARD WHITE WINTER,GR,53.6,0,0,0,0,53.6,0,0,0,0,0,0,53.6,0,0,0,0,53.6
01,001,ALABAMA,AUTAUGA,0011,WHEAT,SRW,SOFT RED WINTER,GR,734.6,0,0,0,0,734.6,0,0,0,0,0,0,734.6,0,0,0,0,734.6
01,001,ALABAMA,AUTAUGA,0011,WHEAT,SRW,SOFT RED WINTER,GS,26,0,0,0,0,26,0,0,0,0,0,0,26,0,0,0,0,26
01,001,ALABAMA,AUTAUGA,0016,OATS,WTR,WINTER,GR,138,0,0,0,0,138,0,0,0,0,0,0,138,0,0,0,0,138
01,001,ALABAMA,AUTAUGA,0021,"COTTON, Upland",,,  ,7819.2,0,0,0,0,7819.2,270.1,0,0,0,0,270.1,7549.1,0,0,0,0,7549.1
01,001,ALABAMA,AUTAUGA,0034,PEACHES,CLI,CLING PEACHES,FH,96.3,0,0,0,0,96.3,96.3,0,0,0,0,96.3,0,0,0,0,0,0
01,001,ALABAMA,AUTAUGA,0034,PEACHES,FSL,FREESTONE LATE SEASON,FH,61.3,0,0,0,0,61.3,61.3,0,0,0,0,61.3,0,0,0,0,0,0
01,001,ALABAMA,AUTAUGA,0034,PEACHES,FSM,FREESTONE MID SEASON,FH,60,0,0,0,0,60,60,0,0,0,0,60,0,0,0,0,0,0
01,001,ALABAMA,AUTAUGA,0041,CORN,SWT,SWEET,FH,28.5,0,0,0,0,28.5,0,0,0,0,0,0,28.5,0,0,0,0,28.5
01,001,ALABAMA,AUTAUGA,0041,CORN,YEL,YELLOW,GR,1146.3,0,0,0,0,1146.3,196,0,0,0,0,196,950.3,0,0,0,0,950.3
01,001,ALABAMA,AUTAUGA,0047,BEANS,BUT,BUTTER,FH,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5
01,001,ALABAMA,AUTAUGA,0047,BEANS,WAX,SNAP WAX,FH,2.5,0,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,2.5
01,001,ALABAMA,AUTAUGA,0051,SORGHUM,GRS,GRAIN,GR,26.5,0,0,0,0,26.5,0,0,0,0,0,0,26.5,0,0,0,0,26.5
01,001,ALABAMA,AUTAUGA,0067,PEAS,BLE,BLACK EYE,FH,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
01,001,ALABAMA,AUTAUGA,0067,PEAS,BUT,BUTTER,FH,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25
01,001,ALABAMA,AUTAUGA,0067,PEAS,CRM,CREAM,FH,12.3,0,0,0,0,12.3,0,0,0,0,0,0,12.3,0,0,0,0,12.3
01,001,ALABAMA,AUTAUGA,0067,PEAS,CRO,CROWDER,FH,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9
01,001,ALABAMA,AUTAUGA,0067,PEAS,ENG,ENGLISH/GARDEN,FH,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
01,001,ALABAMA,AUTAUGA,0067,PEAS,PHL,PURPLE HULL,FH,159.45,0,0,0,0,159.45,0,0,0,0,0,0,159.45,0,0,0,0,159.45
01,001,ALABAMA,AUTAUGA,0067,PEAS,PNK,PINK EYED,FH,23.5,0,0,0,0,23.5,0,0,0,0,0,0,23.5,0,0,0,0,23.5
01,001,ALABAMA,AUTAUGA,0075,PEANUTS,RUN,RUNNER PEANUTS,GP,54,0,0,0,0,54,0,0,0,0,0,0,54,0,0,0,0,54
01,001,ALABAMA,AUTAUGA,0075,PEANUTS,RUN,RUNNER PEANUTS,NP,237.7,0,0,0,0,237.7,0,0,0,0,0,0,237.7,0,0,0,0,237.7
