State Code,County Code,Crop Code,State,County,State County Code,Crop,Crop Type,Intended Use,Irrigation Practice,Planted Acres,Volunteer Acres,Failed Acres,Prevented Acres,Not Planted Acres,Planted and Failed Acres
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,HARD RED WINTER,Cover Only,N,54,0,0,0,0,54
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,HARD RED WINTER,Grain,N,115.58,0,0,0,0,115.58
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,HARD RED WINTER,Grain/Graze,N,33.69,0,0,0,0,33.69
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,SOFT RED WINTER,Cover Only,N,145,0,0,0,0,145
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,SOFT RED WINTER,Grain,N,1370.91,0,0,0,0,1370.91
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,SOFT RED WINTER,Seed,N,89,0,0,0,0,89
01,001,0011,ALABAMA,AUTAUGA,01001,WHEAT,SOFT WHITE WINTER,Grain,N,37.8,0,0,0,0,37.8
01,001,0016,ALABAMA,AUTAUGA,01001,OATS,SPRING,Grain,N,89,0,0,0,0,89
01,001,0021,ALABAMA,AUTAUGA,01001,COTTON- Upland,,  ,I,245,0,0,0,0,245
01,001,0021,ALABAMA,AUTAUGA,01001,COTTON- Upland,,  ,N,5752.13,0,0,0,0,5752.13
01,001,0034,ALABAMA,AUTAUGA,01001,PEACHES,CLING PEACHES,Fresh,I,89.3,0,0,0,0,89.3
01,001,0034,ALABAMA,AUTAUGA,01001,PEACHES,FREESTONE PEACHES,Fresh,N,14,0,0,0,0,14
01,001,0034,ALABAMA,AUTAUGA,01001,PEACHES,FREESTONE LATE SEASON,Fresh,I,48,0,0,0,0,48
01,001,0034,ALABAMA,AUTAUGA,01001,PEACHES,FREESTONE MID SEASON,Fresh,I,60,0,0,0,0,60
01,001,0041,ALABAMA,AUTAUGA,01001,CORN,SWEET,Fresh,N,15,0,0,0,0,15
01,001,0041,ALABAMA,AUTAUGA,01001,CORN,YELLOW,Forage,N,33.9,0,0,0,0,33.9
01,001,0041,ALABAMA,AUTAUGA,01001,CORN,YELLOW,Grain,I,324.47,0,0,0,0,324.47
01,001,0041,ALABAMA,AUTAUGA,01001,CORN,YELLOW,Grain,N,1253.47,0,0,0,0,1253.47
01,001,0047,ALABAMA,AUTAUGA,01001,BEANS,BABY LIMA,Fresh,N,0.5,0,0,0,0,0.5
01,001,0047,ALABAMA,AUTAUGA,01001,BEANS,BUTTER,Fresh,N,1,0,0,0,0,1
01,001,0047,ALABAMA,AUTAUGA,01001,BEANS,GREEN,Fresh,N,2.7,0,0,0,0,2.7
01,001,0047,ALABAMA,AUTAUGA,01001,BEANS,SNAP WAX,Fresh,N,1,0,0,0,0,1
01,001,0051,ALABAMA,AUTAUGA,01001,SORGHUM,GRAIN,Forage,N,4.5,0,0,0,0,4.5
01,001,0067,ALABAMA,AUTAUGA,01001,PEAS,CREAM,Fresh,N,10,0,0,0,0,10
01,001,0067,ALABAMA,AUTAUGA,01001,PEAS,CROWDER,Fresh,N,10.95,0,0,0,0,10.95
01,001,0067,ALABAMA,AUTAUGA,01001,PEAS,ENGLISH/GARDEN,Fresh,N,0.8,0,0,0,0,0.8
01,001,0067,ALABAMA,AUTAUGA,01001,PEAS,PURPLE HULL,Fresh,N,92.01,0,0,0,0,92.01
01,001,0075,ALABAMA,AUTAUGA,01001,PEANUTS,RUNNER PEANUTS,Green Peanuts,N,134.63,0,0,0,0,134.63
01,001,0075,ALABAMA,AUTAUGA,01001,PEANUTS,RUNNER PEANUTS,Nut Peanuts,N,51.44,0,0,0,0,51.44
01,001,0081,ALABAMA,AUTAUGA,01001,SOYBEANS,COMMON,Fresh,N,317.69,0,0,0,0,317.69
01,001,0081,ALABAMA,AUTAUGA,01001,SOYBEANS,COMMON,Grain,I,144.24,0,0,0,0,144.24
01,001,0081,ALABAMA,AUTAUGA,01001,SOYBEANS,COMMON,Grain,N,1482.76,0,0,71.49,0,1482.76
01,001,0087,ALABAMA,AUTAUGA,01001,TOMATOES,GRAPE,Fresh,I,0.5,0,0,0,0,0.5
01,001,0087,ALABAMA,AUTAUGA,01001,TOMATOES,HYBRID,Fresh,I,24.7,0,0,0,0,24.7
01,001,0087,ALABAMA,AUTAUGA,01001,TOMATOES,HYBRID,Fresh,N,0.5,0,0,0,0,0.5
01,001,0087,ALABAMA,AUTAUGA,01001,TOMATOES,PLUM,Fresh,I,3.7,0,0,0,0,3.7
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP3 TREE PLANTING,  ,N,786.29,0,0,0,0,786.29
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,"CP10 VEG COVER, GRASS ALREADY EST",  ,N,11.62,0,0,0,0,11.62
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,"CP11 VEG COVER, TREES ALREADY EST",  ,N,568.52,16,0,0,0,568.52
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP12 WILDLIFE(WL) FOOD PLOT,  ,N,27.37,1,0,0,0,27.37
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP21 FILTER STRIPS,  ,N,16.7,0,0,0,0,16.7
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP22 RIPARIAN BUFFER,  ,N,12.5,0,0,0,0,12.5
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP33 HABITAT BUFRS UPLAND BIRDS,  ,N,98,0,0,0,0,98
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP36 LONGLEAF PINE EST,  ,N,767.4,0,0,0,0,767.4
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP3A HARDWOOD TREE PLANTING,  ,N,1267.65,72.5,0,0,0,1267.65
01,001,0099,ALABAMA,AUTAUGA,01001,CRP,CP4D PERM WL HABITAT NONEASE,  ,N,329,0,0,0,0,329
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,COMMON BERMUDA,Forage,N,263.97,10.97,0,0,0,263.97
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,COMMON BERMUDA,Grazing,N,44.76,0,0,0,0,44.76
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,COMMON BERMUDA,Left Standing,N,24,0,0,0,0,24
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,COASTAL BERMUDA,Forage,N,2683.34,361.91,0,0,0,2683.34
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,COASTAL BERMUDA,Grazing,N,317.66,231.84,0,0,0,317.66
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,BAHIA,Forage,N,1589.21,17.1,0,0,0,1589.21
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,BAHIA,Grazing,N,5626.29,399.66,0,0,0,5626.29
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,BAHIA,Seed,N,171.18,0,0,0,0,171.18
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,FESCUE- TALL,Grazing,N,50.6,0,0,0,0,50.6
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,NATIVE,Forage,N,69.91,357.51,0,0,0,69.91
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,NATIVE,Grazing,N,1606.87,1241.66,0,0,0,1606.87
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,NATIVE,Left Standing,N,2475.53,7473.73,0,0,0,2475.53
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,NATIVE,Seed,N,0,3.1,0,0,0,0
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,ANNUAL RYEGRASS,Seed,N,15.02,0,0,0,0,15.02
01,001,0102,ALABAMA,AUTAUGA,01001,GRASS,SUDAN,Grazing,N,33.27,0,0,0,0,33.27
01,001,0105,ALABAMA,AUTAUGA,01001,TURN AREAS,,  ,N,27.3,2.92,0,0,0,27.3
01,001,0132,ALABAMA,AUTAUGA,01001,CUCUMBERS,COMMON,Fresh,N,1,0,0,0,0,1
01,001,0146,ALABAMA,AUTAUGA,01001,PECANS,IMPROVED PECANS,  ,N,91.17,0,0,0,0,91.17
01,001,0147,ALABAMA,AUTAUGA,01001,PUMPKINS,HOWDEN PUMPKINS,Fresh,N,20.8,0,0,0,0,20.8
01,001,0155,ALABAMA,AUTAUGA,01001,SQUASH,SUMMER SQUASH,Fresh,N,44.2,0,0,0,0,44.2
01,001,0286,ALABAMA,AUTAUGA,01001,OKRA,,Fresh,N,20.95,0,0,0,0,20.95
01,001,0396,ALABAMA,AUTAUGA,01001,SESAME,,Grain,N,70,0,0,0,0,70
01,001,0396,ALABAMA,AUTAUGA,01001,SESAME,,Seed,N,486.35,0,0,0,0,486.35
01,001,0757,ALABAMA,AUTAUGA,01001,WATERMELON,COMMON,Fresh,I,1,0,0,0,0,1
01,001,0757,ALABAMA,AUTAUGA,01001,WATERMELON,COMMON,Fresh,N,337.57,0,0,0,0,337.57
01,001,0757,ALABAMA,AUTAUGA,01001,WATERMELON,CRIMSON SWEET,Fresh,N,40.5,0,0,0,0,40.5
01,001,0757,ALABAMA,AUTAUGA,01001,WATERMELON,JUBILEE,Fresh,N,48,0,0,0,0,48
01,001,0759,ALABAMA,AUTAUGA,01001,CANTALOUPES,,Fresh,N,106,0,0,0,0,106
01,001,0777,ALABAMA,AUTAUGA,01001,WILDLIFE FOOD PLOT,,  ,N,41.5,0,0,0,0,41.5
01,001,1010,ALABAMA,AUTAUGA,01001,NURSERY,FIELD,  ,I,19,0,0,0,0,19
01,001,1010,ALABAMA,AUTAUGA,01001,NURSERY,FIELD,  ,N,127.77,0,0,0,0,127.77
01,001,4000,ALABAMA,AUTAUGA,01001,GREENS,COLLARDS,Fresh,N,4.5,0,0,0,0,4.5
01,001,4000,ALABAMA,AUTAUGA,01001,GREENS,HYBRID MUSTARD,Fresh,N,4,0,0,0,0,4
01,001,4000,ALABAMA,AUTAUGA,01001,GREENS,TURNIP,Fresh,N,4.7,0,0,0,0,4.7
01,001,7506,ALABAMA,AUTAUGA,01001,TREES- Timber,,  ,N,2753.4,341.23,0,0,0,2753.4
01,003,0011,ALABAMA,BALDWIN,01003,WHEAT,SOFT RED WINTER,Cover Only,N,269.42,0,0,0,0,269.42
01,003,0011,ALABAMA,BALDWIN,01003,WHEAT,SOFT RED WINTER,Grain,I,302.74,0,0,0,0,302.74
01,003,0011,ALABAMA,BALDWIN,01003,WHEAT,SOFT RED WINTER,Grain,N,18584.86,0,0,0,0,18584.86
01,003,0011,ALABAMA,BALDWIN,01003,WHEAT,SOFT RED WINTER,Seed,N,49.8,0,0,0,0,49.8
01,003,0016,ALABAMA,BALDWIN,01003,OATS,WINTER,Forage,N,702.62,0,0,0,0,702.62
01,003,0016,ALABAMA,BALDWIN,01003,OATS,WINTER,Grain,N,1657.94,0,0,0,0,1657.94
01,003,0016,ALABAMA,BALDWIN,01003,OATS,WINTER,Grazing,N,1258.1,0,0,0,0,1258.1
01,003,0016,ALABAMA,BALDWIN,01003,OATS,WINTER,Seed,N,117.16,0,0,0,0,117.16
01,003,0021,ALABAMA,BALDWIN,01003,COTTON- Upland,,  ,N,14918.99,0,30,454.19,0,14948.99
01,003,0041,ALABAMA,BALDWIN,01003,CORN,SWEET,Fresh,I,636.26,0,0,0,0,636.26
01,003,0041,ALABAMA,BALDWIN,01003,CORN,TROPICAL,Grain,N,108.9,0,0,0,0,108.9
01,003,0041,ALABAMA,BALDWIN,01003,CORN,YELLOW,Grain,I,1459.66,0,0,0,0,1459.66
01,003,0041,ALABAMA,BALDWIN,01003,CORN,YELLOW,Grain,N,6524.69,0,0,0,0,6524.69
01,003,0047,ALABAMA,BALDWIN,01003,BEANS,BUTTER,Fresh,I,5,0,0,0,0,5
01,003,0051,ALABAMA,BALDWIN,01003,SORGHUM,GRAIN,Grain,N,945.48,0,0,0,0,945.48
01,003,0067,ALABAMA,BALDWIN,01003,PEAS,PINK EYED,Fresh,I,5,0,0,0,0,5
01,003,0075,ALABAMA,BALDWIN,01003,PEANUTS,RUNNER PEANUTS,Nut Peanuts,I,238.47,0,0,0,0,238.47
01,003,0075,ALABAMA,BALDWIN,01003,PEANUTS,RUNNER PEANUTS,Nut Peanuts,N,19407.41,0,84.09,0,0,19491.5
01,003,0075,ALABAMA,BALDWIN,01003,PEANUTS,VIRGINIA PEANUTS,Green Peanuts,N,84.2,0,0,0,0,84.2
01,003,0078,ALABAMA,BALDWIN,01003,SUNFLOWERS,CONFECTIONERY - SUNFLOWER,Forage,N,4.56,0,0,0,0,4.56
01,003,0078,ALABAMA,BALDWIN,01003,SUNFLOWERS,SUNFLOWER OIL,Seed,N,3.55,0,0,0,0,3.55
01,003,0080,ALABAMA,BALDWIN,01003,MILLET,COMMON,Grazing,N,175.75,0,0,0,0,175.75
01,003,0080,ALABAMA,BALDWIN,01003,MILLET,COMMON,Seed,N,224,0,0,0,0,224
01,003,0080,ALABAMA,BALDWIN,01003,MILLET,PEARL,Grazing,N,64.59,0,0,0,0,64.59
01,003,0081,ALABAMA,BALDWIN,01003,SOYBEANS,COMMON,Grain,I,432.38,0,0,0,0,432.38
01,003,0081,ALABAMA,BALDWIN,01003,SOYBEANS,COMMON,Grain,N,18973.45,0,0,669.28,0,18973.45
01,003,0083,ALABAMA,BALDWIN,01003,PEPPERS,GREEN BELL,Fresh,I,9.76,0,0,0,0,9.76
01,003,0084,ALABAMA,BALDWIN,01003,POTATOES,REDS,Fresh,I,33,0,0,0,0,33
01,003,0084,ALABAMA,BALDWIN,01003,POTATOES,REDS,Fresh,N,12,0,0,0,0,12
01,003,0087,ALABAMA,BALDWIN,01003,TOMATOES,HYBRID,Fresh,I,13.01,0,0,0,0,13.01
01,003,0094,ALABAMA,BALDWIN,01003,RYE,,Grazing,N,152.66,0,0,0,0,152.66
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP1 EST PERM INTRO GRASS AND LEGUME,  ,N,37.4,0,0,0,0,37.4
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP3 TREE PLANTING,  ,N,1790.5,0,0,0,0,1790.5
01,003,0099,ALABAMA,BALDWIN,01003,CRP,"CP10 VEG COVER, GRASS ALREADY EST",  ,N,59.5,0,0,0,0,59.5
01,003,0099,ALABAMA,BALDWIN,01003,CRP,"CP11 VEG COVER, TREES ALREADY EST",  ,N,1463.42,0,0,0,0,1463.42
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP12 WILDLIFE(WL) FOOD PLOT,  ,N,66.59,0,0,0,0,66.59
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP21 FILTER STRIPS,  ,N,3.9,0,0,0,0,3.9
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP22 RIPARIAN BUFFER,  ,N,57.8,0,0,0,0,57.8
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP36 LONGLEAF PINE EST,  ,I,10.1,0,0,0,0,10.1
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP36 LONGLEAF PINE EST,  ,N,31,0,0,0,0,31
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP3A HARDWOOD TREE PLANTING,  ,N,1091.9,0,0,0,0,1091.9
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP35A EFCRP LONGLEAF PINE NEW,  ,N,22.7,0,0,0,0,22.7
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP35E EFCRP SOFTWOOD NEW,  ,N,322.9,0,0,0,0,322.9
01,003,0099,ALABAMA,BALDWIN,01003,CRP,CP35F EFCRP SOFTWOOD EXIST,  ,N,199.7,0,0,0,0,199.7
01,003,0101,ALABAMA,BALDWIN,01003,FALLOW,,  ,N,51.51,6058.46,0,0,0,51.51
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,ARGENTINE BAHIA,Grazing,N,49.6,0,0,0,0,49.6
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,COMMON BERMUDA,Forage,N,186.91,0,0,0,0,186.91
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,COMMON BERMUDA,Grazing,N,196.42,0,0,0,0,196.42
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,COMMON BERMUDA,Sod,I,29.1,0,0,0,0,29.1
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,COASTAL BERMUDA,Forage,N,524.03,0,0,0,0,524.03
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,COASTAL BERMUDA,Grazing,N,16,0,0,0,0,16
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,HYBRID BERMUDA,Forage,N,52.39,0,0,0,0,52.39
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,HYBRID BERMUDA,Grazing,N,3,0,0,0,0,3
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,HYBRID BERMUDA,Sod,I,586.3,0,0,0,0,586.3
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,HYBRID BERMUDA,Sod,N,392.16,0,0,0,0,392.16
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,BAHIA,Forage,N,1046.28,0,0,0,0,1046.28
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,BAHIA,Grazing,N,6717.58,0,0,0,0,6717.58
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,BAHIA,Left Standing,I,6.62,0,0,0,0,6.62
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,BAHIA,Left Standing,N,1178.55,8.3,0,0,0,1178.55
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,BAHIA,Sod,N,33.81,0,0,0,0,33.81
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,CENTIPEDE,Seed,I,102.3,0,0,0,0,102.3
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,CENTIPEDE,Seed,N,191,0,0,0,0,191
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,CENTIPEDE,Sod,I,2487.54,0,0,0,0,2487.54
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,CENTIPEDE,Sod,N,54.6,0,0,0,0,54.6
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,CRABGRASS,Grazing,N,97.01,61.78,0,0,0,97.01
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,NATIVE,Forage,N,80.23,0,0,0,0,80.23
01,003,0102,ALABAMA,BALDWIN,01003,GRASS,NATIVE,Grazing,N,31.28,19.59,0,0,0,31.28
