State Code,County Code,Crop Code,State,County,State County Code,Crop,Crop Type,Intended Use,Irrigation Practice,Planted Acres,Volunteer Acres,Failed Acres,Prevented Acres,Not Planted Acres,Planted and Failed Acres
1,1,11,Alabama,Autauga,1001,WHEAT,SOFT RED WINTER,Grain,I,281,0,0,0,0,281
1,1,11,Alabama,Autauga,1001,WHEAT,SOFT RED WINTER,Grain,N,137.63,0,0,0,0,137.63
1,1,11,Alabama,Autauga,1001,WHEAT,SOFT RED WINTER,Seed,N,98.55,0,0,0,0,98.55
1,1,16,Alabama,Autauga,1001,OATS,WINTER,Grain,N,212.89,0,0,0,0,212.89
1,1,21,Alabama,Autauga,1001,COTTON  UPLAND,,Blank,I,444.6,0,0,0,0,444.6
1,1,21,Alabama,Autauga,1001,COTTON  UPLAND,,Blank,N,7509.41,0,0,0,0,7509.41
1,1,41,Alabama,Autauga,1001,CORN,SWEET  WHITE,Fresh,N,23.58,0,0,0,0,23.58
1,1,41,Alabama,Autauga,1001,CORN,SWEET  YELLOW/GOLDEN EARLY,Fresh,N,21.72,0,0,0,0,21.72
1,1,41,Alabama,Autauga,1001,CORN,WHITE,Grain,N,5,0,0,0,0,5
1,1,41,Alabama,Autauga,1001,CORN,YELLOW,Grain,I,481.45,0,0,0,0,481.45
1,1,41,Alabama,Autauga,1001,CORN,YELLOW,Grain,N,916.49,0,0,0,0,916.49
1,1,41,Alabama,Autauga,1001,CORN,YELLOW,Grazing,N,77,0,0,0,0,77
1,1,47,Alabama,Autauga,1001,BEANS,BUTTER,Fresh,N,6,0,0,0,0,6
1,1,47,Alabama,Autauga,1001,BEANS,GREEN,Fresh,N,2.5,0,0,0,0,2.5
1,1,47,Alabama,Autauga,1001,BEANS,POLE,Fresh,N,0.2,0,0,0,0,0.2
1,1,51,Alabama,Autauga,1001,SORGHUM,GRAIN,Grain,N,249.17,0,0,0,0,249.17
1,1,67,Alabama,Autauga,1001,PEAS,BLACK EYE,Fresh,N,0.33,0,0,0,0,0.33
1,1,67,Alabama,Autauga,1001,PEAS,CREAM,Fresh,N,0.33,0,0,0,0,0.33
1,1,67,Alabama,Autauga,1001,PEAS,CROWDER,Fresh,N,0.34,0,0,0,0,0.34
1,1,67,Alabama,Autauga,1001,PEAS,PURPLE HULL,Fresh,N,40.42,0,0,0,0,40.42
1,1,75,Alabama,Autauga,1001,PEANUTS,RUNNER PEANUTS,Nut Peanuts,N,92.25,0,0,0,0,92.25
1,1,78,Alabama,Autauga,1001,SUNFLOWERS,SUNFLOWER OIL,Seed,N,12,0,0,0,0,12
1,1,80,Alabama,Autauga,1001,MILLET,PEARL,Grain,N,8,0,0,0,0,8
1,1,81,Alabama,Autauga,1001,SOYBEANS,COMMON,Grain,I,401.62,0,0,0,0,401.62
1,1,81,Alabama,Autauga,1001,SOYBEANS,COMMON,Grain,N,521.66,0,0,0,0,521.66
1,1,83,Alabama,Autauga,1001,PEPPERS,BANANA,Fresh,N,2.14,0,0,0,0,2.14
1,1,83,Alabama,Autauga,1001,PEPPERS,JALAPENO,Fresh,N,2.14,0,0,0,0,2.14
1,1,87,Alabama,Autauga,1001,TOMATOES,CHERRY,Fresh,N,2.14,0,0,0,0,2.14
1,1,94,Alabama,Autauga,1001,RYE,,Seed,N,67,0,0,0,0,67
1,1,99,Alabama,Autauga,1001,CRP,CP3 TREE PLANTING,Blank,N,807.61,0,0,0,0,807.61
1,1,99,Alabama,Autauga,1001,CRP,CP36 LONGLEAF PINE EST,Blank,N,748.44,0,0,0,0,748.44
1,1,99,Alabama,Autauga,1001,CRP,CP3A HARDWOOD TREE PLANTING,Blank,N,39.42,0,0,0,0,39.42
