ST_CTY,State Name,County Name,Crop Name,Program,Enrolled Base
01001,Alabama,Autauga,Corn,ARCCO,"1,361.26"
01001,Alabama,Autauga,Corn,PLC,83.91
01001,Alabama,Autauga,Grain Sorghum,ARCCO,671.05
01001,Alabama,Autauga,Grain Sorghum,PLC,733.14
01001,Alabama,Autauga,Oats,ARCCO,224.44
01001,Alabama,Autauga,Peanuts,PLC,497.03
01001,Alabama,Autauga,Seed Cotton,ARCCO,"4,490.86"
01001,Alabama,Autauga,Seed Cotton,PLC,"2,871.87"
01001,Alabama,Autauga,Soybeans,ARCCO,751.04
01001,Alabama,Autauga,Wheat,ARCCO,"1,353.20"
01001,Alabama,Autauga,Wheat,PLC,258.6
01003,Alabama,Baldwin,Corn,ARCCO,757.68
01003,Alabama,Baldwin,Corn,PLC,"2,590.85"
01003,Alabama,Baldwin,Grain Sorghum,PLC,249.33
01003,Alabama,Baldwin,Oats,ARCCO,244.46
01003,Alabama,Baldwin,Oats,PLC,"1,350.94"
01003,Alabama,Baldwin,Peanuts,PLC,"21,240.85"
01003,Alabama,Baldwin,Seed Cotton,PLC,"5,764.14"
01003,Alabama,Baldwin,Soybeans,ARCCO,"6,393.78"
01003,Alabama,Baldwin,Soybeans,PLC,949.5
01003,Alabama,Baldwin,Sunflower Seed,PLC,17.02
01003,Alabama,Baldwin,Wheat,ARCCO,"1,118.44"
01003,Alabama,Baldwin,Wheat,PLC,"3,013.78"
01005,Alabama,Barbour,Corn,ARCCO,"2,303.78"
01005,Alabama,Barbour,Corn,PLC,"3,094.03"
01005,Alabama,Barbour,Grain Sorghum,ARCCO,350.72
01005,Alabama,Barbour,Grain Sorghum,PLC,497.2
01005,Alabama,Barbour,Oats,ARCCO,210.31
01005,Alabama,Barbour,Oats,PLC,77.69
01005,Alabama,Barbour,Peanuts,PLC,"15,276.48"
01005,Alabama,Barbour,Seed Cotton,ARCCO,374.5
01005,Alabama,Barbour,Seed Cotton,PLC,"1,953.83"
01005,Alabama,Barbour,Soybeans,ARCCO,121.97
01005,Alabama,Barbour,Wheat,ARCCO,"1,216.90"
01005,Alabama,Barbour,Wheat,PLC,774.72
01007,Alabama,Bibb,Corn,PLC,196.33
01007,Alabama,Bibb,Wheat,PLC,335.16
01009,Alabama,Blount,Corn,ARCCO,692.94
01009,Alabama,Blount,Corn,PLC,"1,191.41"
01009,Alabama,Blount,Grain Sorghum,ARCCO,8.62
01009,Alabama,Blount,Grain Sorghum,PLC,66.88
01009,Alabama,Blount,Peanuts,ARCCO,91.57
01009,Alabama,Blount,Seed Cotton,ARCCO,319.5
01009,Alabama,Blount,Seed Cotton,PLC,611.93
01009,Alabama,Blount,Soybeans,ARCCO,976.59
01009,Alabama,Blount,Soybeans,PLC,85.59
01009,Alabama,Blount,Wheat,ARCCO,23.43
01009,Alabama,Blount,Wheat,PLC,359.8
01011,Alabama,Bullock,Corn,ARCCO,100.74
01011,Alabama,Bullock,Corn,PLC,164.17
01011,Alabama,Bullock,Oats,ARCCO,47.8
01011,Alabama,Bullock,Peanuts,PLC,726.1
01011,Alabama,Bullock,Seed Cotton,ARCCO,139.37
01011,Alabama,Bullock,Seed Cotton,PLC,278.45
01011,Alabama,Bullock,Wheat,ARCCO,261.9
01011,Alabama,Bullock,Wheat,PLC,262
01013,Alabama,Butler,Corn,ARCCO,722.34
01013,Alabama,Butler,Corn,PLC,"1,113.09"
01013,Alabama,Butler,Grain Sorghum,PLC,32.8
01013,Alabama,Butler,Oats,PLC,12.02
01013,Alabama,Butler,Peanuts,PLC,"1,754.58"
01013,Alabama,Butler,Seed Cotton,PLC,681.6
01013,Alabama,Butler,Soybeans,PLC,16.64
01013,Alabama,Butler,Wheat,ARCCO,144.41
01013,Alabama,Butler,Wheat,PLC,292.68
01015,Alabama,Calhoun,Corn,ARCCO,"1,527.10"
01015,Alabama,Calhoun,Grain Sorghum,ARCCO,192
01015,Alabama,Calhoun,Oats,ARCCO,11.31
01015,Alabama,Calhoun,Seed Cotton,ARCCO,"1,982.15"
01015,Alabama,Calhoun,Soybeans,ARCCO,"1,926.55"
