,State,Program,Year,Payment,Farm Count,Payee Count
0,Alabama                  ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,21077621.02,4474,4829
1,Alabama                  ,CRP - EMERGENCY FORESTRY ANNUAL RENTAL       ,2014,1002098.0,72,78
2,Alabama                  ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,13746195.13,4685,5072
3,Alabama                  ,DCP - COUNTER CYCLICAL                       ,2014,1173.0,4,4
4,Alabama                  ,DCP - DIRECT                                 ,2014,699109.53,278,293
5,Alabama                  ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,53925.0,7,7
6,Alabama                  ,EMERGENCY CONSERVATION PROGRAM               ,2014,475486.0,49,51
7,Alabama                  ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,230129.0,52,52
8,Alabama                  ,EMERGENCY FOREST RESTORATION STAFFORD        ,2014,1035.0,1,1
9,Alabama                  ,EMERGENCY FORESTRY RESTORATION PROGRAM       ,2014,238405.0,32,32
10,Alabama                  ,GRASSLANDS RESERVE PROGRAM                   ,2014,196528.0,84,84
11,Alabama                  ,LIVESTOCK FORAGE PROGRAM                     ,2014,50956017.67,3838,3897
12,Alabama                  ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,444328.0,101,101
13,Alabama                  ,NON-INSURED ASSISTANCE PROGRAM               ,2014,1372744.46,139,136
14,Alabama                  ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,398701.0,10,10
15,Alabama                  ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,155175.36,89,119
16,Alabama                  ,TREE ASSISTANCE PROGRAM                      ,2014,61679.0,6,6
17,Alaska                   ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,619513.0,22,25
18,Alaska                   ,GEOGRAPHIC DISADVANTAGED PROGRAM             ,2014,263125.25,166,168
19,Alaska                   ,GRASSLANDS RESERVE PROGRAM                   ,2014,84904.0,19,21
20,Alaska                   ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,100573.0,1,1
21,Alaska                   ,NON-INSURED ASSISTANCE PROGRAM               ,2014,33550.0,2,2
22,Alaska                   ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,17415.0,1,1
23,Alaska                   ,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS      ,2014,131551.63999999998,76,98
24,Arizona                  ,BIOMASS CROP ASSIST COLLECTION MATCH PAY     ,2014,418218.0,2,2
25,Arizona                  ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,21320096.04,590,676
26,Arizona                  ,DCP - DIRECT                                 ,2014,1152189.0,26,30
27,Arizona                  ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,893012.0,12,13
28,Arizona                  ,EMERGENCY CONSERVATION PROGRAM               ,2014,592943.0,32,32
29,Arizona                  ,GRASSLANDS RESERVE PROGRAM                   ,2014,198988.0,12,13
30,Arizona                  ,LIVESTOCK FORAGE DISASTER PROGRAM            ,2014,891.0,1,1
31,Arizona                  ,LIVESTOCK FORAGE PROGRAM                     ,2014,25150004.34,1333,1697
32,Arizona                  ,NON-INSURED ASSISTANCE PROGRAM               ,2014,295424.0,89,93
33,Arizona                  ,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM      ,2014,26000.0,1,1
34,Arkansas                 ,BIOMASS CROP ASSISTANCE - ANNUAL RENTAL      ,2014,444769.0,78,87
35,Arkansas                 ,BIOMASS CROP ASSISTANCE - COST-SHARE         ,2014,247344.0,19,22
36,Arkansas                 ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,30649540.99,4170,5333
37,Arkansas                 ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,15700066.34,2944,3451
38,Arkansas                 ,DCP - COUNTER CYCLICAL                       ,2014,145.0,3,3
39,Arkansas                 ,DCP - DIRECT                                 ,2014,5249819.43,815,912
40,Arkansas                 ,EMERG ASSIST LIVESTOCK BEES FISH (ELAP)      ,2014,855568.0,19,19
41,Arkansas                 ,EMERGENCY CONSERVATION PROGRAM               ,2014,376925.0,31,33
42,Arkansas                 ,EMERGENCY CONSERVATION PROGRAM STAFFORD      ,2014,221311.0,30,30
43,Arkansas                 ,EMERGENCY FORESTRY RESTORATION PROGRAM       ,2014,23785.0,1,1
44,Arkansas                 ,GRASSLANDS RESERVE PROGRAM                   ,2014,667396.0,40,41
45,Arkansas                 ,INDEMNITY PAYMENT - DAIRY                    ,2014,67121.58,6,6
46,Arkansas                 ,LIVESTOCK FORAGE DISASTER PROGRAM            ,2014,80167.0,4,4
47,Arkansas                 ,LIVESTOCK FORAGE PROGRAM                     ,2014,156502794.08,10764,11625
48,Arkansas                 ,LIVESTOCK INDEMNITY PROGRAM                  ,2014,1174895.34,136,138
49,Arkansas                 ,NON-INSURED ASSISTANCE PROGRAM               ,2014,1491838.0,86,86
50,Arkansas                 ,TREE ASSISTANCE PROGRAM                      ,2014,6333.0,1,1
51,California               ,BIOMASS CROP ASSIST COLLECTION MATCH PAY     ,2014,600246.0,10,9
52,California               ,BIOMASS CROP ASSISTANCE - ANNUAL RENTAL      ,2014,68208.0,3,3
53,California               ,COTTON TRANSITION ASSISTANCE PROGRAM         ,2014,23985344.01,1411,1731
54,California               ,CRP PAYMENT - ANNUAL RENTAL                  ,2014,3455263.0,214,244
55,California               ,DAIRY ECONOMIC LOSS ASSISTANCE PROGRAM       ,2014,3017.96,2,2
56,California               ,DCP - COUNTER CYCLICAL                       ,2014,12572.0,2,3
57,California               ,DCP - DIRECT                                 ,2014,3541543.47,287,324
58,California               ,DIRECT PAYMENT - BARLEY                      ,2014,214.0,4,4
59,California               ,DIRECT PAYMENT - CORN                        ,2014,2622.0,8,8
60,California               ,DIRECT PAYMENT - RICE                        ,2014,54166.0,7,7
61,California               ,DIRECT PAYMENT - SAFFLOWER SEED              ,2014,1.0,1,1
62,California               ,DIRECT PAYMENT - SORGHUM                     ,2014,58.0,2,2
63,California               ,DIRECT PAYMENT - SUNFLOWER SEED              ,2014,54.0,2,2
64,California               ,DIRECT PAYMENT - UPLAND COTTON               ,2014,245.0,1,1
