state,fiscal_year,accounting_program_description,amount
Alabama,2005,EWE LAMB REPLACEMENT OR RETENTION,87120.0
Alabama,2006,"INCOME LOSS - MILK, PART 2",594112.49
Alabama,2007,"INCOME LOSS - MILK, PART 2",234521.04
Alabama,2008,05 - 07 LIVESTOCK INDEMNITY PROGRAM,44561.0
Alabama,2008,DIRECT AND COUNTER CYCLICAL PROG,26606324.0
Alabama,2008,"INCOME LOSS - MILK, PART 2",317.91
Alabama,2008,LOAN DEFICIENCY,330.24
Alabama,2008,MILK INCOME LOSS CONTRACT II,4678.019999999999
Alabama,2008,TREE ASSISTANCE PROGRAM - TIMBER,348449.0
Alabama,2009,DAIRY INDEMNITY PROGRAM,5910.76
Alabama,2009,DIRECT AND COUNTER CYCLICAL PROG,65806775.36
Alabama,2009,LIVESTOCK INDEMNITY PROGRAM,26705.0
Alabama,2009,LOAN DEFICIENCY,9337097.499999998
Alabama,2009,MILK INCOME LOSS CONTRACT II,1290784.4500000002
Alabama,2010,ACRE DIRECT PAYMENTS,35397.0
Alabama,2010,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,3555842.82
Alabama,2010,DCP PROGRAM - DIRECT PAYMENTS,47352970.930000015
Alabama,2010,DIRECT AND COUNTER CYCLICAL PROG,37965807.480000004
Alabama,2010,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",131357.0
Alabama,2010,LIVESTOCK FORAGE DISASTER  PROGRAM,9003161.989999998
Alabama,2010,LIVESTOCK INDEMNITY PAYMENTS,178496.0
Alabama,2010,LIVESTOCK INDEMNITY PROGRAM,140096.56
Alabama,2010,LOAN DEFICIENCY,113185.06999999998
Alabama,2010,MILK INCOME LOSS CONTRACT II,291583.93
Alabama,2010,SUPL REVENUE ASSISTANCE RECOVERY ACT,1121943.0
Alabama,2010,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,1862541.0
Alabama,2011,ACRE DIRECT PAYMENTS,25701.0
Alabama,2011,ACRE PAYMENTS,30120.0
Alabama,2011,AVERAGE CROP REVENUE ELECTION-DIRECT,5692.0
Alabama,2011,DCP - COUNTER CYCLICAL,483591.0
Alabama,2011,DCP - DIRECT,6001338.4
Alabama,2011,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,8524844.0
Alabama,2011,DCP PROGRAM - DIRECT PAYMENTS,33686855.34
Alabama,2011,DIRECT AND COUNTER CYCLICAL PROG,7835.139999999999
Alabama,2011,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),61185.0
Alabama,2011,"EMERGENCY ASSISTANCE LIVESTOCK, HONEYBEE, FISH",1400.68
Alabama,2011,LIVESTOCK FORAGE DISASTER  PROGRAM,1743703.33
Alabama,2011,LIVESTOCK FORAGE DISASTER PROGRAM,6219345.949999999
Alabama,2011,LIVESTOCK INDEMNITY PAYMENTS,43630.0
Alabama,2011,LIVESTOCK INDEMNITY PROGRAM,1438173.0
Alabama,2011,MILK INCOME LOSS CONTRACT II,4452.849999999999
Alabama,2011,SUPL REVENUE ASSISTANCE - RECOVERY ACT,32373.0
Alabama,2011,SUPL REVENUE ASSISTANCE RECOVERY ACT,868719.0
Alabama,2011,SUPPLEMENTAL REVENUE ASSISTANCE PROGRAM,4049767.83
