state,fiscal_year,accounting_program_code,accounting_program_description,amount,category
Alabama,2018,2441,COTTON GINNING COST SHARE PROGRAM,8289538.74,Ad Hoc
Alabama,2018,2775,NON-INSURED ASSISTANCE PROGRAM,2312047,NAP
Alabama,2018,2775,NON-INSURED ASSISTANCE PROGRAM,1236709.37,NAP
Alabama,2018,2832,LIVESTOCK INDEMNITY PROGRAM,52858,LIP
Alabama,2018,2832,LIVESTOCK INDEMNITY PROGRAM,74213,LIP
Alabama,2018,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),37715,ELAP
Alabama,2018,2834,TREE ASSISTANCE PROGRAM,9586,TAP
Alabama,2018,2834,TREE ASSISTANCE PROGRAM,366,TAP
Alabama,2018,2835,LIVESTOCK FORAGE PROGRAM,9571734.02,LFP
Alabama,2018,2835,LIVESTOCK FORAGE PROGRAM,33864137.63,LFP
Alabama,2018,2837,PRICE LOSS COVERAGE PROGRAM,820164,PLC
Alabama,2018,2837,PRICE LOSS COVERAGE PROGRAM,64201636.7,PLC
Alabama,2018,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,227480,ARC-CO
Alabama,2018,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,21169658.64,ARC-CO
Alabama,2018,2867,MARKET FACILITATION PROGRAM - CROPS,20021,MFP
Alabama,2018,2868,MARKET FACILITATION PROGRAM - DAHG,9420,MFP
Alabama,2018,3070,GRASSLANDS RESERVE PROGRAM,36244,Ad Hoc
Alabama,2018,3070,GRASSLANDS RESERVE PROGRAM,19368,Ad Hoc
Alabama,2018,3340,EMERGENCY FORESTRY RESTORATION PROGRAM,211471,Ad Hoc
Alabama,2018,3344,EMERGENCY FOREST RESTORATION STAFFORD,6525,Ad Hoc
Alabama,2018,4040,EMERGENCY CONSERVATION PROGRAM,86112,Ad Hoc
Alabama,2018,4040,EMERGENCY CONSERVATION PROGRAM,17947,Ad Hoc
Alabama,2018,4042,EMERGENCY CONSERVATION PROGRAM FY17,503106,Ad Hoc
Alabama,2018,4042,EMERGENCY CONSERVATION PROGRAM FY17,83348,Ad Hoc
Alabama,2018,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,32094,Ad Hoc
Alabama,2018,4050,EMERGENCY CONSERVATION PROGRAM STAFFORD,21321,Ad Hoc
Alabama,2018,4056,ECP COST SHARE FY 2018,6023,Ad Hoc
Alabama,2018,6150,CCC ORGANIC COST SHARE - CROPS,613,Ad Hoc
Alabama,2018,8025,MARGIN PROTECTION PROGRAM - DAIRY,349099,DMC
Alabama,2019,2775,NON-INSURED ASSISTANCE PROGRAM,1615032.13,NAP
Alabama,2019,2832,LIVESTOCK INDEMNITY PROGRAM,88370,LIP
Alabama,2019,2833,EMERG ASSIST LIVESTOCK BEES FISH (ELAP),512,ELAP
Alabama,2019,2835,LIVESTOCK FORAGE PROGRAM,285537,LFP
Alabama,2019,2837,PRICE LOSS COVERAGE PROGRAM,36640059.34,PLC
Alabama,2019,2838,AGRICULTURAL RISK COVERAGE PROG - COUNTY,2479610.14,ARC-CO
Alabama,2019,2864,WILDFIRES AND HURRICANES INDEMNITY PROG,2072823,Ad Hoc
Alabama,2019,2867,MARKET FACILITATION PROGRAM - CROPS,47487007.63,MFP
