,Pay_year,State,practice_code,payments,StatutoryCategory
0,2019,Colorado,314,768.0,Land Management (6(A)(ii))
1,2019,Florida,314,2891.67,Land Management (6(A)(ii))
2,2019,Georgia,314,340.04,Land Management (6(A)(ii))
3,2019,Illinois,314,334.21,Land Management (6(A)(ii))
4,2019,Indiana,314,8278.9,Land Management (6(A)(ii))
5,2019,Iowa,314,1418.14,Land Management (6(A)(ii))
6,2019,Kansas,314,533.58,Land Management (6(A)(ii))
7,2019,Kentucky,314,5.0,Land Management (6(A)(ii))
8,2019,Massachusetts,314,792.97,Land Management (6(A)(ii))
9,2019,Michigan,314,318.36,Land Management (6(A)(ii))
10,2019,Minnesota,314,280.31,Land Management (6(A)(ii))
11,2019,Missouri,314,3.26,Land Management (6(A)(ii))
12,2019,Nebraska,314,774.48,Land Management (6(A)(ii))
13,2019,New Jersey,314,967.3,Land Management (6(A)(ii))
14,2019,New York,314,31.14,Land Management (6(A)(ii))
15,2019,North Dakota,314,3118.56,Land Management (6(A)(ii))
16,2019,Ohio,314,94.27,Land Management (6(A)(ii))
17,2019,Oklahoma,314,1411.74,Land Management (6(A)(ii))
18,2019,Oregon,314,311.13,Land Management (6(A)(ii))
19,2019,Pennsylvania,314,1730.52,Land Management (6(A)(ii))
20,2019,South Carolina,314,1202.75,Land Management (6(A)(ii))
21,2019,South Dakota,314,4517.62,Land Management (6(A)(ii))
22,2019,Texas,314,4524.34,Land Management (6(A)(ii))
23,2019,Utah,314,286.6,Land Management (6(A)(ii))
24,2019,Virginia,314,306.93,Land Management (6(A)(ii))
25,2019,Washington,314,624.02,Land Management (6(A)(ii))
26,2019,Wisconsin,314,799.3,Land Management (6(A)(ii))
27,2018,Arkansas,314,114.82,Land Management (6(A)(ii))
28,2018,Georgia,314,759.0,Land Management (6(A)(ii))
29,2018,Indiana,314,52.38,Land Management (6(A)(ii))
30,2018,Iowa,314,1401.8,Land Management (6(A)(ii))
31,2018,Kansas,314,585.77,Land Management (6(A)(ii))
32,2018,Massachusetts,314,1685.67,Land Management (6(A)(ii))
33,2018,Michigan,314,180.68,Land Management (6(A)(ii))
