Pay_year,state_code,State,category_code,category_code_num,category_name,payments
2018,1,Alabama,4 Conservation planning assessment,4,Conservation planning assessment,70692.11
2018,1,Alabama,6 Other 1 - planning,6,Other 1 - planning,61704.73
2018,1,Alabama,7 Structural,7,Structural,4078781.4
2018,1,Alabama,8 Land management,8,Land management,6255685.64
2018,1,Alabama,9 Vegetative,9,Vegetative,1970500.76
2018,1,Alabama,10 Forest management,10,Forest management,4444296.21
2018,1,Alabama,12 Soil remediation,12,Soil remediation,5156.21
2018,1,Alabama,13 Other 2 - improvement,13,Other 2 - improvement,1120090.06
2018,2,Alaska,7 Structural,7,Structural,1925884.61
2018,2,Alaska,8 Land management,8,Land management,2597273.89
2018,2,Alaska,9 Vegetative,9,Vegetative,145844.62
2018,2,Alaska,10 Forest management,10,Forest management,2079772.68
2018,2,Alaska,12 Soil remediation,12,Soil remediation,9772.63
2018,2,Alaska,13 Other 2 - improvement,13,Other 2 - improvement,4636.96
2018,4,Arizona,7 Structural,7,Structural,6295323.97
2018,4,Arizona,8 Land management,8,Land management,4824596.18
2018,4,Arizona,9 Vegetative,9,Vegetative,34188.56
2018,4,Arizona,10 Forest management,10,Forest management,1109537.35
2018,4,Arizona,12 Soil remediation,12,Soil remediation,5367.3
2018,4,Arizona,13 Other 2 - improvement,13,Other 2 - improvement,69172.4
2018,5,Arkansas,6 Other 1 - planning,6,Other 1 - planning,306475.56
2018,5,Arkansas,7 Structural,7,Structural,21778636.86
2018,5,Arkansas,8 Land management,8,Land management,9386104.6
2018,5,Arkansas,9 Vegetative,9,Vegetative,2935794.08
2018,5,Arkansas,10 Forest management,10,Forest management,1542040.57
2018,5,Arkansas,12 Soil remediation,12,Soil remediation,1610751.89
2018,5,Arkansas,13 Other 2 - improvement,13,Other 2 - improvement,2436966.98
2018,6,California,1 Comprehensive Nutrient Mgt.,1,Comprehensive Nutrient Mgt.,42503.38
2018,6,California,4 Conservation planning assessment,4,Conservation planning assessment,292766.62
2018,6,California,6 Other 1 - planning,6,Other 1 - planning,64420.85
2018,6,California,7 Structural,7,Structural,68922083.54
2018,6,California,8 Land management,8,Land management,7709577.4
2018,6,California,9 Vegetative,9,Vegetative,585954.95
2018,6,California,10 Forest management,10,Forest management,10114216.68
2018,6,California,12 Soil remediation,12,Soil remediation,384748.64
