STATE,COUNTY,PROGRAM,PRACTICE NAME,FISCAL YEAR,PRACTICE INSTANCE COUNT,DOLLARS OBLIGATED,INDEX()
Alabama,Total,EQIP IRA,Brush Management (314),2023,,,1
Alabama,Total,EQIP IRA,Brush Management (314),Total,,,2
Alabama,Total,EQIP IRA,Combustion System Improvement (372),2023,,,3
Alabama,Total,EQIP IRA,Combustion System Improvement (372),Total,,,4
Alabama,Total,EQIP IRA,Cover Crop (340),2023,20,"$296,446 ",5
Alabama,Total,EQIP IRA,Cover Crop (340),Total,20,"$296,446 ",6
Alabama,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),2023,6,"$81,407 ",7
Alabama,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),Total,6,"$81,407 ",8
Alabama,Total,EQIP IRA,Energy Efficient Building Envelope (672),2023,25,"$904,238 ",9
Alabama,Total,EQIP IRA,Energy Efficient Building Envelope (672),Total,25,"$904,238 ",10
Alabama,Total,EQIP IRA,Fence (382),2023,32,"$215,379 ",11
Alabama,Total,EQIP IRA,Fence (382),Total,32,"$215,379 ",12
Alabama,Total,EQIP IRA,Firebreak (394),2023,7,"$16,678 ",13
Alabama,Total,EQIP IRA,Firebreak (394),Total,7,"$16,678 ",14
Alabama,Total,EQIP IRA,Heavy Use Area Protection (561),2023,36,"$177,827 ",15
Alabama,Total,EQIP IRA,Heavy Use Area Protection (561),Total,36,"$177,827 ",16
Alabama,Total,EQIP IRA,Hedgerow Planting (422),2023,,,17
Alabama,Total,EQIP IRA,Hedgerow Planting (422),Total,,,18
Alabama,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,4,"$10,860 ",19
Alabama,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,4,"$10,860 ",20
Alabama,Total,EQIP IRA,High Tunnel System (325),2023,,,21
Alabama,Total,EQIP IRA,High Tunnel System (325),Total,,,22
Alabama,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2023,,,23
Alabama,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",Total,,,24
Alabama,Total,EQIP IRA,Lined Waterway or Outlet (468),2023,,,25
Alabama,Total,EQIP IRA,Lined Waterway or Outlet (468),Total,,,26
Alabama,Total,EQIP IRA,Livestock Pipeline (516),2023,32,"$86,603 ",27
Alabama,Total,EQIP IRA,Livestock Pipeline (516),Total,32,"$86,603 ",28
Alabama,Total,EQIP IRA,Nutrient Management (590),2023,6,"$143,506 ",29
Alabama,Total,EQIP IRA,Nutrient Management (590),Total,6,"$143,506 ",30
Alabama,Total,EQIP IRA,Pasture and Hay Planting (512),2023,67,"$635,486 ",31
Alabama,Total,EQIP IRA,Pasture and Hay Planting (512),Total,67,"$635,486 ",32
Alabama,Total,EQIP IRA,Precision Land Forming and Smoothing (462),2023,,,33
Alabama,Total,EQIP IRA,Precision Land Forming and Smoothing (462),Total,,,34
Alabama,Total,EQIP IRA,Prescribed Burning (338),2023,7,"$15,780 ",35
Alabama,Total,EQIP IRA,Prescribed Burning (338),Total,7,"$15,780 ",36
Alabama,Total,EQIP IRA,Prescribed Grazing (528),2023,24,"$31,307 ",37
Alabama,Total,EQIP IRA,Prescribed Grazing (528),Total,24,"$31,307 ",38
Alabama,Total,EQIP IRA,Pumping Plant (533),2023,7,"$21,654 ",39
Alabama,Total,EQIP IRA,Pumping Plant (533),Total,7,"$21,654 ",40
Alabama,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",2023,,,41
Alabama,Total,EQIP IRA,"Residue and Tillage Management, No Till (329)",Total,,,42
Alabama,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",2023,12,"$71,540 ",43
Alabama,Total,EQIP IRA,"Residue and Tillage Management, Reduced Till (345)",Total,12,"$71,540 ",44
Alabama,Total,EQIP IRA,Total,2023,350,"$2,989,040 ",45
Alabama,Total,EQIP IRA,Total,Total,350,"$2,989,040 ",46
Alabama,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,11,"$58,340 ",47
Alabama,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,11,"$58,340 ",48
Alabama,Total,EQIP IRA,Tree/Shrub Site Preparation (490),2023,8,"$53,788 ",49
Alabama,Total,EQIP IRA,Tree/Shrub Site Preparation (490),Total,8,"$53,788 ",50
Alabama,Total,EQIP IRA,Upland Wildlife Habitat Management (645),2023,,,51
Alabama,Total,EQIP IRA,Upland Wildlife Habitat Management (645),Total,,,52
Alabama,Total,EQIP IRA,Water Well (642),2023,6,"$51,439 ",53
Alabama,Total,EQIP IRA,Water Well (642),Total,6,"$51,439 ",54
Alabama,Total,EQIP IRA,Watering Facility (614),2023,29,"$40,828 ",55
Alabama,Total,EQIP IRA,Watering Facility (614),Total,29,"$40,828 ",56
Alaska,Total,EQIP IRA,Forest Stand Improvement (666),2023,16,"$423,356 ",57
Alaska,Total,EQIP IRA,Forest Stand Improvement (666),Total,16,"$423,356 ",58
Alaska,Total,EQIP IRA,Total,2023,,,59
Alaska,Total,EQIP IRA,Total,Total,,,60
Alaska,Total,EQIP IRA,Tree/Shrub Establishment (612),2023,,,61
Alaska,Total,EQIP IRA,Tree/Shrub Establishment (612),Total,,,62
American Samoa,Total,EQIP IRA,Access Road (560),2023,19,"$108,427 ",63
American Samoa,Total,EQIP IRA,Access Road (560),Total,19,"$108,427 ",64
American Samoa,Total,EQIP IRA,Brush Management (314),2023,126,"$341,519 ",65
American Samoa,Total,EQIP IRA,Brush Management (314),Total,126,"$341,519 ",66
American Samoa,Total,EQIP IRA,Combustion System Improvement (372),2023,12,"$915,470 ",67
