STATE,COUNTY/CD,PROGRAM,PRACTICE NAME,FISCAL YEAR,PRACTICE INSTANCE COUNT,DOLLARS OBLIGATED,INDEX(),State
Alabama,Total,EQIP IRA,Brush Management (314),2023,,,1,(supp)
Alabama,Total,EQIP IRA,Brush Management (314),Total,,,2,(supp)
Alabama,Total,EQIP IRA,Combustion System Improvement (372),2024,,,3,(supp)
Alabama,Total,EQIP IRA,Combustion System Improvement (372),Total,,,4,(supp)
Alabama,Total,EQIP IRA,Conservation Cover (327),2024,,,5,(supp)
Alabama,Total,EQIP IRA,Conservation Cover (327),Total,,,6,(supp)
Alabama,Total,EQIP IRA,Conservation Crop Rotation (328),2024,,,7,(supp)
Alabama,Total,EQIP IRA,Conservation Crop Rotation (328),Total,,,8,(supp)
Alabama,Total,EQIP IRA,Cover Crop (340),2023,18,"$256,579 ",9, 
Alabama,Total,EQIP IRA,Cover Crop (340),2024,175,"$6,239,593 ",10, 
Alabama,Total,EQIP IRA,Cover Crop (340),Total,193,"$6,496,172 ",11, 
Alabama,Total,EQIP IRA,Early Successional Habitat Development-Mgt (647),2024,,,12,(supp)
Alabama,Total,EQIP IRA,Early Successional Habitat Development-Mgt (647),Total,,,13,(supp)
Alabama,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),2023,6,"$81,407 ",14, 
Alabama,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),2024,24,"$490,742 ",15, 
Alabama,Total,EQIP IRA,Energy Efficient Agricultural Operation (374),Total,30,"$572,149 ",16, 
Alabama,Total,EQIP IRA,Energy Efficient Building Envelope (672),2023,25,"$893,996 ",17, 
Alabama,Total,EQIP IRA,Energy Efficient Building Envelope (672),2024,39,"$1,595,373 ",18, 
Alabama,Total,EQIP IRA,Energy Efficient Building Envelope (672),Total,64,"$2,489,369 ",19, 
Alabama,Total,EQIP IRA,Energy Efficient Lighting System (670),2024,7,"$27,159 ",20, 
Alabama,Total,EQIP IRA,Energy Efficient Lighting System (670),Total,7,"$27,159 ",21, 
Alabama,Total,EQIP IRA,Fence (382),2023,32,"$211,586 ",22, 
Alabama,Total,EQIP IRA,Fence (382),2024,4,"$19,366 ",23, 
Alabama,Total,EQIP IRA,Fence (382),Total,36,"$230,951 ",24, 
Alabama,Total,EQIP IRA,Field Border (386),2024,,,25,(supp)
Alabama,Total,EQIP IRA,Field Border (386),Total,,,26,(supp)
Alabama,Total,EQIP IRA,Firebreak (394),2023,,,27,(supp)
Alabama,Total,EQIP IRA,Firebreak (394),2024,,,28,(supp)
Alabama,Total,EQIP IRA,Firebreak (394),Total,8,"$17,795 ",29, 
Alabama,Total,EQIP IRA,Forest Stand Improvement (666),2023,,,30,(supp)
Alabama,Total,EQIP IRA,Forest Stand Improvement (666),Total,,,31,(supp)
Alabama,Total,EQIP IRA,Heavy Use Area Protection (561),2023,36,"$168,705 ",32, 
Alabama,Total,EQIP IRA,Heavy Use Area Protection (561),2024,5,"$38,077 ",33, 
Alabama,Total,EQIP IRA,Heavy Use Area Protection (561),Total,41,"$206,782 ",34, 
Alabama,Total,EQIP IRA,Hedgerow Planting (422),2023,,,35,(supp)
Alabama,Total,EQIP IRA,Hedgerow Planting (422),Total,,,36,(supp)
Alabama,Total,EQIP IRA,Herbaceous Weed Treatment (315),2023,,,37,(supp)
Alabama,Total,EQIP IRA,Herbaceous Weed Treatment (315),2024,,,38,(supp)
Alabama,Total,EQIP IRA,Herbaceous Weed Treatment (315),Total,6,"$11,152 ",39, 
Alabama,Total,EQIP IRA,High Tunnel System (325),2023,,,40,(supp)
Alabama,Total,EQIP IRA,High Tunnel System (325),Total,,,41,(supp)
Alabama,Total,EQIP IRA,Irrigation Pipeline (430),2024,,,42,(supp)
Alabama,Total,EQIP IRA,Irrigation Pipeline (430),Total,,,43,(supp)
Alabama,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2023,,,44,(supp)
Alabama,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",2024,,,45,(supp)
Alabama,Total,EQIP IRA,"Irrigation System, Microirrigation (441)",Total,5,"$3,668 ",46, 
Alabama,Total,EQIP IRA,Irrigation Water Management (449),2024,,,47,(supp)
