state,year,p_101,p_102,p_104,p_106,p_110,p_112,p_114,p_118,p_120,p_122,p_124,p_128,p_130,p_136,p_138,p_140,p_142,p_146,p_154,p_157,p_159,p_160,p_161,p_163,p_165,p_199,p_201,p_202,p_206,p_216,p_217,p_223,p_224,p_226,p_227,p_228,p_297,p_309,p_311,p_313,p_314,p_315,p_316,p_317,p_319,p_324,p_325,p_326,p_327,p_328,p_329,p_330,p_332,p_333,p_336,p_338,p_340,p_342,p_344,p_345,p_348,p_350,p_351,p_353,p_355,p_356,p_359,p_360,p_362,p_366,p_367,p_368,p_372,p_373,p_374,p_376,p_378,p_379,p_380,p_381,p_382,p_383,p_384,p_386,p_388,p_390,p_391,p_393,p_394,p_395,p_396,p_400,p_402,p_410,p_412,p_420,p_422,p_428,p_430,p_436,p_441,p_442,p_443,p_447,p_449,p_460,p_462,p_464,p_466,p_468,p_472,p_484,p_490,p_500,p_511,p_512,p_516,p_520,p_521,p_522,p_527,p_528,p_533,p_548,p_550,p_554,p_558,p_560,p_561,p_568,p_570,p_572,p_574,p_575,p_576,p_578,p_580,p_582,p_584,p_585,p_587,p_590,p_591,p_592,p_595,p_600,p_601,p_603,p_605,p_606,p_607,p_608,p_610,p_612,p_614,p_620,p_629,p_632,p_633,p_634,p_635,p_636,p_638,p_642,p_643,p_644,p_645,p_646,p_647,p_649,p_650,p_654,p_655,p_656,p_657,p_658,p_659,p_660,p_666,p_670,p_672,p_710,p_713,p_717,p_734,p_747,p_755,p_756,p_770,p_775,p_798,p_800,p_801,p_805,p_808,p_809,p_810,p_812,p_815,p_817,p_821,p_823,p_911,p_912,p_913
Alabama,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2025,0.0,12446.889153724333,0.0,6486.491281984418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4708.664755711929,0.0,0.0,2561.025067083174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833.6096681017298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9363.055094565396,0.0,0.0,0.0,70011.47878961277,21735.341035591322,211550.7818569988,324241.6325404481,0.0,0.0,0.0,110122.31837483728,0.0,-421.74365972982196,-16883.561720376507,2225.4727308034344,0.0,0.0,0.0,0.0,136377.27684606705,-1580947.029536998,6873.624500959297,0.0,-395781.968223921,0.0,0.0,3660.2494477746295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271987.24327952275,0.0,0.0,0.0,-158956.0178765207,0.0,3462.721445684285,0.0,0.0,0.0,-1353.9336318848655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57753.24526576325,0.0,0.0,0.0,0.0,25037.19861755951,1756.4618619296198,1121.5115039794018,0.0,0.0,8277.437589144494,0.0,4954.192905613432,-543247.3779677481,0.0,0.0,1853.9367556107609,9561.967009245593,9158.834664858456,0.0,85978.12075640843,38144.72297240858,0.0,3580.999899344395,24420.213801293634,0.0,0.0,-165516.06413194374,13103.84881614591,0.0,0.0,0.0,0.0,-5456.357807227061,-3907.501348487247,0.0,0.0,0.0,0.0,6256.5940775303025,-12409.439013037598,0.0,0.0,0.0,0.0,0.0,9150.623619436577,6109.848956711285,0.0,0.0,0.0,0.0,0.0,-1583582.2283562785,0.0,0.0,-26548.256566098018,43924.0585006451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225157.46625638474,1291.499719622021,103048.59448991553,0.0,0.0,0.0,0.0,0.0,0.0,2794.027100394236,-13567.239513899549,0.0,0.0,1182.302268156649,0.0,224.7480432616394,315.656046146697,0.0,0.0,5384.001248575907,0.0,0.0,0.0,0.0,0.0,155290.81003797567,-4490.08990610925,-606566.4088640609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34049.9990561202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2026,0.0,14355.921232516412,0.0,7481.351908055643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5430.852601680017,0.0,0.0,2953.820322770782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.8381448044456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10799.1064894374,0.0,0.0,0.0,80749.43565918528,25068.982298718765,243997.22079212125,373971.9442797797,0.0,0.0,0.0,127012.24450594722,0.0,-2066.146551833983,-37008.58848043996,-1522.3506586950098,0.0,0.0,0.0,0.0,75620.30015868647,-3727413.9287643423,7000.145931701438,0.0,-820751.397231317,0.0,0.0,4221.637399887302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313703.0781383449,0.0,0.0,0.0,-360072.8251655323,0.0,3993.8136919548924,0.0,0.0,0.0,-169610.9421398011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51156.9679907104,0.0,0.0,0.0,0.0,28877.25975522201,2025.857853023117,1293.522470847407,0.0,0.0,9546.983231651306,0.0,5714.038443284211,-1280726.5166077078,0.0,0.0,2138.282883771917,11028.52636649186,10563.56390793492,0.0,99164.94909328118,43995.140606213594,0.0,4130.2330127407695,-223371.59062453127,0.0,0.0,-451066.10261305096,-32580.640340740443,0.0,0.0,0.0,0.0,-52433.05562782439,-24286.315362017398,0.0,0.0,0.0,0.0,7216.194396169914,-144606.45997749106,0.0,0.0,0.0,0.0,0.0,10554.093499718263,7046.942354979881,0.0,0.0,0.0,0.0,0.0,-3313092.679885465,0.0,0.0,-77397.14962589019,50660.87728908751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75480.66490414366,-28194.309774961497,118853.59364481061,0.0,0.0,0.0,0.0,0.0,0.0,3222.5588642583825,-76365.17959277029,0.0,0.0,1363.636971861657,0.0,259.21860204409995,364.0695501569262,0.0,0.0,6209.768311240914,0.0,0.0,0.0,0.0,0.0,179108.41893950547,-11972.993732623509,-1412613.4454692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70611.05998953541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2027,0.0,16723.121010218572,0.0,8714.979084383973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6326.36553068045,0.0,0.0,3440.8864398234145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463.5614559158166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12579.810219078674,0.0,0.0,0.0,94064.50217745511,29202.69746499689,284230.80507167336,435637.5308365524,0.0,0.0,0.0,147955.75290852366,0.0,-4371.727725375753,-64922.12103145966,-6859.551697049086,0.0,0.0,0.0,0.0,-13497.905341902282,-6710263.915402837,7000.5133348002855,0.0,-1409170.606626173,0.0,0.0,4917.758460507022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365430.7133632852,0.0,0.0,0.0,-639275.7924086091,0.0,4652.368077330437,0.0,0.0,0.0,-406602.0167976264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206074.82942774612,0.0,0.0,0.0,0.0,33638.935565923515,2359.9088819790522,1506.8160697637359,0.0,0.0,11121.219828359783,0.0,6656.2469099959635,-2305566.841050301,0.0,0.0,2490.872082691749,12847.059969477195,12305.428169349674,0.0,115516.61623100331,51249.65847213182,0.0,4811.282073352275,-573071.4401210002,0.0,0.0,-849041.647110451,-97276.13008077326,0.0,0.0,0.0,0.0,-118468.62585585087,-52893.13646032699,0.0,0.0,0.0,0.0,8406.098791283046,-330513.22504847986,0.0,0.0,0.0,0.0,0.0,12294.39615126756,8208.938168832945,0.0,0.0,0.0,0.0,0.0,-5708501.82840757,0.0,0.0,-148341.75390537397,59014.53258675628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-504820.281010624,-69764.82048639684,138451.7925968801,0.0,0.0,0.0,0.0,0.0,0.0,3753.9382514499157,-164478.48422871483,0.0,0.0,1588.4920044558676,0.0,301.9620949343498,424.10229512961087,0.0,0.0,7233.71946894555,0.0,0.0,0.0,0.0,0.0,208642.25397740235,-22398.08212805621,-2532407.8975493787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121234.0674358026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2028,0.0,16570.398443915212,0.0,8635.390234298262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6268.590503003004,0.0,0.0,3409.462819368404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0631777796007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12464.926107488922,0.0,0.0,0.0,93205.46562788927,28936.006163946702,281635.0899568638,431659.1058974061,0.0,0.0,0.0,146604.55881803506,0.0,-6407.7898931114905,-87373.53130820386,-12170.668134878288,0.0,0.0,0.0,0.0,-120706.1700270921,-9151111.708736904,5717.424532618679,0.0,-1875002.480730434,0.0,0.0,4872.8474243380115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362093.4465745799,0.0,0.0,0.0,-865696.6338201157,0.0,4609.880697628789,0.0,0.0,0.0,-623730.7928252253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-358957.7688112841,0.0,0.0,0.0,0.0,33331.730674910475,2338.357202691568,1493.0551924142947,0.0,0.0,11019.656176959237,0.0,6595.459266982296,-3144174.4055809677,0.0,0.0,2468.124392438858,12729.735220897492,12193.049829903583,0.0,114461.66996405367,50781.62506142736,0.0,4767.343424280574,-898395.5444951919,0.0,0.0,-1183182.5194462498,-159065.19940896798,0.0,0.0,0.0,0.0,-178021.37768293102,-78403.3273085145,0.0,0.0,0.0,0.0,8329.330765791863,-498720.33531693043,0.0,0.0,0.0,0.0,0.0,12182.118560845018,8133.970696971446,0.0,0.0,0.0,0.0,0.0,-7610023.717865135,0.0,0.0,-208459.12255467102,58475.587083680904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940675.6234523011,-108136.7828993519,137187.3926644884,0.0,0.0,0.0,0.0,0.0,0.0,3719.6557103407904,-242767.73581189336,0.0,0.0,1573.985228159465,0.0,299.20445023175307,420.22921480879313,0.0,0.0,7167.65810393235,0.0,0.0,0.0,0.0,0.0,206736.84526528092,-31122.18289480017,-3446289.9734963924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161310.61499743082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2029,0.0,21228.436716167867,0.0,11062.850161912065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8030.728847165141,0.0,0.0,4367.88324324616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3127.260660934233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15968.89151097658,0.0,0.0,0.0,119406.08038964611,37070.09084597783,360804.40095856227,553001.0665413775,0.0,0.0,0.0,187815.9785779433,0.0,-7194.1281135073405,-100668.61450436176,-12964.735880402863,0.0,0.0,0.0,0.0,-102164.04256010568,-10500277.339278638,7920.661044906403,0.0,-2168044.586996523,0.0,0.0,6242.634027492932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463880.0836301064,0.0,0.0,0.0,-995499.9625151026,0.0,5905.745778529046,0.0,0.0,0.0,-691097.7063075672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-384199.87532942696,0.0,0.0,0.0,0.0,42701.479850806994,2995.6834209597073,1912.7619515722308,0.0,0.0,14117.347544675882,0.0,8449.482378898989,-3607739.703866143,0.0,0.0,3161.9289451520854,16308.140052578368,15620.589183010117,0.0,146637.53110602242,65056.64408791158,0.0,6107.472220967735,-989333.4642527737,0.0,0.0,-1348633.1921989573,-173136.9839382962,0.0,0.0,0.0,0.0,-198420.55237300892,-87735.13043748049,0.0,0.0,0.0,0.0,10670.755543272535,-555203.1100821232,0.0,0.0,0.0,0.0,0.0,15606.58506873231,10420.478588746832,0.0,0.0,0.0,0.0,0.0,-8794124.152254278,0.0,0.0,-237005.11781615345,74913.42492748052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989765.7912935857,-119463.51413162169,175751.5906024326,0.0,0.0,0.0,0.0,0.0,0.0,4765.273214169312,-272001.9823811519,0.0,0.0,2016.4419051996847,0.0,383.3126136609553,538.3581645937529,0.0,0.0,9182.529736834986,0.0,0.0,0.0,0.0,0.0,264851.8109850141,-35505.68404783915,-3956967.9935421036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186521.6762454726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2030,0.0,22908.38494550489,0.0,11938.32751285474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8666.25415161706,0.0,0.0,4713.543068251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3374.7417204326266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17232.61673846394,0.0,0.0,0.0,128855.48243486986,40003.69515753002,389357.2672214699,596763.7408719901,0.0,0.0,0.0,202679.11357331998,0.0,-3591.6717034191497,-62326.76513845012,-3191.9408415578073,0.0,0.0,0.0,0.0,105437.92590375757,-6303109.4637919115,10997.419730006164,0.0,-1377648.14898002,0.0,0.0,6736.655425352081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500590.01830587024,0.0,0.0,0.0,-607547.0837335018,0.0,6373.1069552471745,0.0,0.0,0.0,-301998.22564482177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103598.09036878776,0.0,0.0,0.0,0.0,46080.733651949966,3232.7518931219893,2064.131602416077,0.0,0.0,15234.547710081883,0.0,9118.146452049274,-2165718.094861188,0.0,0.0,3412.1535379339075,17598.71228695508,16856.7509169174,0.0,158241.94004246988,70205.01160565997,0.0,6590.797360756544,-403357.61278081033,0.0,0.0,-768308.9014146223,-60885.72559398599,0.0,0.0,0.0,0.0,-92275.19530634803,-42443.784723062796,0.0,0.0,0.0,0.0,11515.203823675387,-255055.74983890587,0.0,0.0,0.0,0.0,0.0,16841.638563380213,11245.120779223202,0.0,0.0,0.0,0.0,0.0,-5564117.642145642,0.0,0.0,-132230.365834744,80841.82546130999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182959.87077012844,-50527.18888127827,189659.98985874,0.0,0.0,0.0,0.0,0.0,0.0,5142.381166369756,-133183.52002687205,0.0,0.0,2176.0164444600887,0.0,413.6467053895203,580.9620481227557,0.0,0.0,9909.2047519802,0.0,0.0,0.0,0.0,0.0,285811.30681835976,-20373.017841244262,-2387153.119223686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118522.120608324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2031,0.0,27566.423217757547,0.0,14365.787440468543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10428.39249577919,0.0,0.0,5671.963492129009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4060.939203587259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20736.582141951585,0.0,0.0,0.0,155056.0971966267,48137.77983956109,468526.57822316885,718105.7015159614,0.0,0.0,0.0,243890.53333322844,0.0,37.01333139090275,-26613.27216880643,7442.426649389818,0.0,0.0,0.0,0.0,352243.18870475795,-2330970.7715330217,15793.451020612454,0.0,-652631.623118501,0.0,0.0,8106.442028507008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602376.6553613977,0.0,0.0,0.0,-243402.72909831232,0.0,7668.972036147432,0.0,0.0,0.0,100302.01402984513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200299.9965616772,0.0,0.0,0.0,0.0,55450.482827846485,3890.0781113901176,2483.838361574013,0.0,0.0,18332.23907779857,0.0,10972.169563965945,-801028.8360542762,0.0,0.0,4105.958090647135,21177.117118635928,20284.290270023936,0.0,190417.80118443863,84480.03063214419,0.0,7930.926157443719,208704.97033706773,0.0,0.0,-206648.4572812724,58339.272128788056,0.0,0.0,0.0,0.0,16278.012590649421,3504.502975784533,0.0,0.0,0.0,0.0,13856.628601156059,52608.59381262725,0.0,0.0,0.0,0.0,0.0,20266.105071267535,13531.628670998587,0.0,0.0,0.0,0.0,0.0,-2593360.240634406,0.0,0.0,-30043.005396800814,97279.66330510972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704692.8714112416,21107.121871033683,228224.18779668398,0.0,0.0,0.0,0.0,0.0,0.0,6187.998670198278,7275.337394418428,0.0,0.0,2618.4731215003085,0.0,497.75486881872257,699.090997907716,0.0,0.0,11924.07638488285,0.0,0.0,0.0,0.0,0.0,343926.27253809315,-5767.863384785094,-905083.7518561203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56147.343576316205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2032,0.0,32224.46149001023,0.0,16793.247368082346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12190.530839941319,0.0,0.0,6630.383916006769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4747.136686741895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24240.547545439258,0.0,0.0,0.0,181256.7119583838,56271.864521592215,547695.8892248678,839447.6621599328,0.0,0.0,0.0,285101.9530931369,0.0,3351.7861622757555,5615.666073452303,17264.22191022124,0.0,0.0,0.0,0.0,582818.7331677885,1262818.3014441738,20405.1322237695,0.0,0.0,0.0,0.0,9476.228631661928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704163.2924169241,0.0,0.0,0.0,85621.49208908965,0.0,8964.83711704769,0.0,0.0,0.0,469208.48822775204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480795.91377446614,0.0,0.0,0.0,0.0,64820.232003743,4547.40432965826,2903.5451207319493,0.0,0.0,21429.9304455152,0.0,12826.19267588263,433669.84644562774,0.0,0.0,4799.7626433603655,24755.521950316834,23711.829623130456,0.0,222593.66232640762,98755.04965862841,0.0,9271.054954130872,770783.5727459118,0.0,0.0,303313.7193670587,168086.74634281185,0.0,0.0,0.0,0.0,115662.58778076759,45522.3255010946,0.0,0.0,0.0,0.0,16198.053378636716,334381.7432648055,0.0,0.0,0.0,0.0,0.0,23690.57157915483,15818.136562773958,0.0,0.0,0.0,0.0,0.0,81982.95694813342,0.0,0.0,62849.093512054766,113717.50114890933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525742.3332928373,86842.82642719429,266788.3857346277,0.0,0.0,0.0,0.0,0.0,0.0,7233.616174026793,135668.85944023402,0.0,0.0,3060.9297985405283,0.0,581.8630322479253,817.2199476926762,0.0,0.0,13938.948017785486,0.0,0.0,0.0,0.0,0.0,402041.23825782654,7487.180237053821,435299.4480577493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2033,0.0,34515.2999845607,0.0,17987.08011936782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13057.156255103037,0.0,0.0,7101.738222831886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5084.610858785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25963.809219285657,0.0,0.0,0.0,194142.26020187058,60272.234037345275,586631.6159470147,899124.0362471314,0.0,0.0,0.0,305369.8644504689,0.0,3590.064799404361,6014.884040759338,18491.536264028444,0.0,0.0,0.0,0.0,624251.3445304274,1352592.114343049,21855.73404062516,0.0,0.0,0.0,0.0,10149.894174197136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754222.2942475108,0.0,0.0,0.0,91708.32801959361,0.0,9602.14781257241,0.0,0.0,0.0,502564.54189323215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514975.7180712293,0.0,0.0,0.0,0.0,69428.30536893802,4870.679518970457,3109.958280973555,0.0,0.0,22953.385216523384,0.0,13738.007321087556,464499.4563825212,0.0,0.0,5140.977997153757,26515.39317901233,25397.504714822207,0.0,238417.85633065482,105775.55081919441,0.0,9930.134690206527,825578.6134624453,0.0,0.0,324876.3060519211,180036.04110651882,0.0,0.0,0.0,0.0,123885.04662774154,48758.50977842361,0.0,0.0,0.0,0.0,17349.573761004256,358152.9572409764,0.0,0.0,0.0,0.0,0.0,25374.73543549284,16942.64864069628,0.0,0.0,0.0,0.0,0.0,87811.12924302439,0.0,0.0,67317.0385484568,121801.68369504041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634207.4280766891,93016.48707367718,285754.3847205017,0.0,0.0,0.0,0.0,0.0,0.0,7747.8542906637595,145313.56508764403,0.0,0.0,3278.5314429865357,0.0,623.2277027868772,875.3161525049518,0.0,0.0,14929.8684929835,0.0,0.0,0.0,0.0,0.0,430622.3689396621,8019.444234948642,466244.9064504802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
